PGC,PGC1,T17,Vcmb,DM,e_DM,DMtrgb,e_DMtrgb,DMceph,e_DMceph,DMsnIa,e_DMsnIa,distance_mpc,distance_err_mpc,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB
1004396,1004396,0,14431,35.916,0.61,,,,,,,152.4754767659914,42.83270670152088,0.048136634578045324,298.315,-8.3859,32.3563,-17.5259,238.3464,61.9189
1004793,1004793,0,9009,35.986,0.78,,,,,,,157.47078772898465,56.56402259145921,0.03005078933640152,127.9827,-8.3537,232.6378,17.915,102.0271,-65.2134
1004855,10308,0,9262,35.986,0.72,,,,,,,157.47078772898465,52.21294393057773,0.030894706497252844,41.3054,-8.3484,183.356,-57.1878,295.4143,-28.6761
1004896,1004896,0,15448,37.296,0.87,,,,,,,287.8723810835251,115.33601368596695,0.051528981426210534,143.8315,-8.3449,242.5672,30.7439,110.6002,-50.1827
1004966,1004966,0,10833,35.926,0.83,,,,,,,153.1792715893419,58.54957901467263,0.03613499843281581,216.1181,-8.3399,338.6388,47.977,131.2387,18.8524
1005150,15081,0,11477,37.336,0.96,,,,,,,293.22432823031124,129.6334016805711,0.038283151205891916,66.6382,-8.3241,203.1405,-35.8999,303.5401,-53.0104
1005312,10308,0,9533,35.146,0.63,,,,,,,106.95473105661613,31.0303185388751,0.031798665195239835,41.5412,-8.3129,183.5717,-56.9829,295.5155,-28.8949
1005680,1005680,0,21673,37.203,0.1,,,,,37.203,0.1,275.8036440597241,12.701227188107131,0.07229334635229549,13.188,-8.2865,123.9385,-71.1557,288.3186,-1.6968
1006117,170224,0,14331,36.526,0.76,,,,,,,201.92960697981204,70.67393563561097,0.047803070482847175,195.0376,-8.2532,306.6508,54.5557,124.7419,-1.0042
1006396,1006396,0,10737,36.146,0.69,,,,,,,169.51182515314002,53.863525432369,0.035814776901425587,314.0303,-8.2302,40.0787,-31.4114,259.9506,51.631
1006959,1006959,0,14734,36.576,0.63,,,,,,,206.6331517564482,59.94959228404954,0.049147333786495724,200.3604,-8.1911,315.6123,53.9404,126.1457,4.074
1007522,1007522,0,10316,35.226,0.63,,,,,,,110.96857267741241,32.19483723596736,0.034410472060641364,306.4733,-8.1549,36.3744,-24.6818,251.341,57.2005
1007595,1007595,0,14985,36.246,0.63,,,,,,,177.50067135006566,51.49751038073416,0.04998457966544309,138.8696,-8.1504,238.99,26.9568,108.181,-54.8724
1007781,5434,0,14662,35.436,0.63,,,,,,,122.23624492787326,35.463878779705745,0.04890716763795305,21.4461,-8.138,147.6995,-69.3413,290.6071,-9.5483
1007783,14067,0,9927,35.546,0.59,,,,,,,128.58786926343993,34.937972286891956,0.03311290773032056,58.4574,-8.1375,197.9056,-42.921,300.6994,-45.1267
1007808,1007808,0,14580,36.856,0.85,,,,,,,235.0715115938295,92.0162669251999,0.04863364507989057,163.8524,-8.1358,260.26,44.9091,116.6252,-30.8892
1007961,1007961,0,11391,34.946,0.74,,,,,,,97.5438740440299,33.24125440242747,0.0379962860840215,240.1144,-8.1259,2.2016,32.2457,142.235,40.6471
1008465,1008465,0,9394,35.436,0.61,,,,,,,122.23624492787326,34.33804135812778,0.0313350111029144,171.7197,-8.0907,269.7648,49.2582,118.6293,-23.3072
