PGC1,DMzp,e_DMzp,Dist,Vh,Vls,V3k,Vpds,Vpwf,Vpec,Hi,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,SGX,SGY,SGZ
3839304,37.84,0.318,369.8,27822,27836,28006,2099,942,942,81.2,0.09341796050119447,225.9495,10.3496,11.0298,54.6301,114.3155,33.5871,-9547,21132,15399
3839316,37.39,0.52,300.6,21218,21309,21368,9,4,4,75.0,0.07127597586194113,225.961,28.7199,43.8834,60.8023,92.0872,35.4545,-632,17347,12360
3839321,36.3,0.52,182.0,16416,16420,16603,3516,1696,1696,95.2,0.05538164672574919,225.9638,8.1771,7.9837,53.3983,116.8558,33.1207,-6212,12270,8972
3839351,37.6,0.54,331.1,26876,26871,27066,3808,1762,1762,87.5,0.09028245800633183,225.9911,5.9455,5.0506,52.0469,119.4397,32.6008,-11126,19715,14478
3839356,38.16,0.279,428.5,27052,27061,27237,-2699,-1126,-1126,68.0,0.09085285260912068,225.9963,9.2903,9.5596,54.0065,115.5679,33.4045,-9749,20379,14898
3839399,35.81,0.5,145.2,10653,10616,10849,258,113,113,76.8,0.03618836868804752,226.043,-1.5895,356.3427,47.0472,127.9082,30.4329,-5623,7222,5377
3839505,37.89,0.52,378.4,23225,23235,23409,-3246,-1332,-1332,65.6,0.07808401904493542,226.1739,9.4378,9.934,53.9437,115.4416,33.6078,-8313,17475,12861
3839528,38.21,0.48,438.5,26795,26800,26981,-3630,-1494,-1494,65.8,0.08999892852541341,226.1932,8.004,7.9678,53.1129,117.1204,33.301,-10210,19937,14714
3839561,37.76,0.55,356.5,26626,26617,26815,1780,796,796,80.4,0.08944521212738447,226.2244,4.9312,3.9964,51.2376,120.6736,32.5592,-11444,19296,14324
3839679,37.38,0.54,299.2,28344,28468,28472,7555,3720,3720,102.1,0.09497236918481786,226.3429,36.7706,60.2336,60.1764,82.206,35.2682,3153,23028,16437
3839726,35.89,0.51,150.7,11658,11674,11839,875,394,394,81.0,0.03949065323050922,226.3962,10.5742,11.7639,54.3815,114.1608,34.0635,-3958,8824,6539
3839786,37.67,0.44,342.0,22217,22276,22381,-1812,-760,-760,69.2,0.07465498014629841,226.4687,20.6484,28.3484,58.6925,102.0243,35.6141,-3772,17712,12972
3839812,37.3,0.263,288.4,23959,24046,24109,3717,1733,1733,88.8,0.08041896771132248,226.4976,27.3243,41.1705,60.1805,93.8028,35.9347,-1291,19427,14111
3839830,37.89,0.52,378.4,25262,25274,25445,-1153,-492,-492,71.7,0.0848753840231698,226.5086,9.3432,10.1119,53.6167,115.6398,33.9092,-9076,18910,14100
3839924,37.14,0.5,267.9,18373,18433,18537,-619,-265,-265,72.5,0.06183277632688145,226.5915,20.5716,28.2791,58.5591,102.1306,35.722,-3144,14631,10762
3839956,38.04,0.53,405.5,25511,25590,25666,-2763,-1148,-1148,67.5,0.08561256067355771,226.6345,25.0779,36.7865,59.6907,96.5809,36.0225,-2371,20561,15049
