PGC1,DMzp,e_DMzp,Dist,Vh,Vls,V3k,Vpds,Vpwf,Vpec,Hi,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,SGX,SGY,SGZ
12,34.995,0.41,99.8,6532,6669,6179,-1174,-468,-468,62.9,0.020610925442293815,0.036,-6.3739,90.1922,-65.93,286.4249,11.351,1848,-6271,1312
14,36.095,0.38,165.6,11837,12035,11474,-575,-244,-244,71.4,0.03827314428303597,359.9805,8.1846,101.66,-52.5465,300.807,15.3909,5942,-9967,3194
16,34.655,0.45,85.3,5709,5851,5354,-948,-380,-380,63.6,0.01785902165690906,0.047,-5.1587,91.6006,-64.8655,287.612,11.703,1733,-5461,1187
35,29.73,0.1,8.8,335,618,28,-633,-38,-510,3.2,9.339794665548257e-05,0.0938,39.4955,112.3102,-22.3207,333.3464,20.3429,518,-260,215
55,34.245,0.39,70.6,4791,5064,4466,-765,-307,-307,64.0,0.014896972491549471,0.1558,33.601,110.9495,-28.0857,327.0996,19.7763,4001,-2589,1713
63,35.245,0.41,111.9,8743,9004,8404,189,83,83,76.7,0.0280327265604527,359.9938,28.2883,109.3762,-33.2252,321.4869,19.2652,6651,-5294,2971
68,34.735,0.56,88.5,7684,7759,7358,844,388,388,84.7,0.02454364612468003,0.2305,-18.959,65.4189,-75.8101,274.3903,7.177,589,-7676,969
70,35.325,0.39,116.1,6803,7043,6450,-2090,-791,-791,56.5,0.02151488414028081,0.2334,20.3381,107.1779,-40.9836,313.2488,17.7663,4595,-4886,2149
75,36.384,0.345,189.1,11750,11700,11521,-2212,-884,-884,62.8,0.0384299194077791,0.3388,-43.6117,331.2258,-70.6612,251.2392,-1.4353,-3762,-11074,-293
76,34.885,0.39,94.8,6903,7166,6566,-423,-178,-178,70.4,0.021901818490710663,0.2454,28.9118,109.8059,-32.6706,322.1729,19.1316,5347,-4152,2348
80,35.675,0.5,136.5,9148,9332,8786,-1204,-492,-492,65.9,0.02930694140410964,0.2698,4.5407,100.0199,-56.0745,297.2349,14.1936,4139,-8044,2288
92,32.845,0.5,37.1,5987,6202,5626,2903,1751,1751,154.0,0.018766315995848035,0.3123,13.1125,104.5148,-47.9564,305.8667,16.2222,3489,-4827,1733
94,34.025,0.5,63.8,4113,4382,4010,-723,-289,-289,63.5,0.013375920217445898,0.5038,80.6418,120.8356,17.9718,16.89,17.6394,3996,1213,1328
96,36.565,0.41,205.6,14751,14941,14388,-465,-199,-199,72.6,0.04799320201711012,0.2844,6.3372,101.1155,-54.39,299.0317,14.6401,7014,-12640,3776
102,34.485,0.39,78.9,5033,5308,4711,-1125,-439,-439,60.5,0.015714204524784944,0.3323,34.5259,111.3397,-27.2154,328.0932,19.7275,4241,-2641,1792
109,33.822,0.283,58.1,4836,5104,4506,197,87,87,78.4,0.015030398129628732,0.587,31.3872,110.7967,-30.3251,324.8117,19.16,3940,-2779,1675
115,36.25,0.59,177.8,14406,14551,14051,1179,533,533,81.9,0.046869091016292344,0.4386,-4.3469,93.2688,-64.3186,288.5214,11.5692,4527,-13518,2918
120,34.062,0.308,64.9,4355,4603,4007,-807,-320,-320,62.4,0.013365913294589953,0.415,23.4881,108.4116,-37.9761,316.5396,18.1559,3175,-3009,1434
123,35.89,0.56,150.7,11300,11397,10964,-19,-8,-8,74.9,0.03657196739752539,0.4001,-14.7486,77.2885,-73.0342,278.46,8.4002,1658,-11152,1665
124,34.515,0.39,80.0,6348,6527,5986,80,35,35,76.0,0.019967146738561384,0.4027,3.5056,99.5867,-57.0904,296.2413,13.7943,2802,-5685,1556
128,36.035,0.46,161.1,12572,12841,12243,535,237,237,78.5,0.04083825217510976,0.4232,32.1078,110.8226,-29.5916,325.5516,19.3854,9988,-6853,4262
143,24.91,0.1,1.0,-121,-28,-455,-526,0,-526,0.0,-0.0015177166331515918,0.4926,-15.461,75.8635,-73.6245,277.8077,8.086,-4,27,-4
145,35.565,0.39,129.7,9721,9751,9425,-68,-29,-29,74.5,0.03143841597242583,0.4884,-27.9995,25.5364,-79.0033,265.9224,3.8953,-693,-9704,662
146,34.295,0.47,72.3,6359,6590,6003,665,306,306,84.4,0.020023852634745067,0.5133,17.5739,106.5495,-43.7213,310.46,16.9746,4090,-4796,1924
155,34.435,0.53,77.1,7940,8153,7579,1912,951,951,100.3,0.025280822775067945,0.5163,12.531,104.5493,-48.5706,305.3231,15.8984,4533,-6398,2233
164,35.385,0.39,119.4,8651,8832,8289,-471,-199,-199,70.9,0.027649127850974824,0.6428,4.1324,100.3958,-56.586,296.9288,13.728,3885,-7649,2096
168,34.045,0.42,64.4,7833,8011,7472,2744,1470,1470,118.3,0.02492390919320592,0.7049,3.473,100.0867,-57.2264,296.291,13.4948,3450,-6985,1869
171,33.185,0.48,43.4,2419,2695,2296,-931,-340,-400,53.3,0.007658631625749572,0.5875,77.2569,120.1543,14.6507,13.3827,18.2069,2491,593,842
176,34.995,0.39,99.8,6341,6488,5985,-1369,-537,-537,60.9,0.0199638110976094,0.6643,-3.6755,94.3987,-63.8115,289.2439,11.5494,2095,-6002,1299
179,34.155,0.39,67.8,5901,6100,5539,529,241,241,82.9,0.018476115233025642,0.6662,8.7371,103.0009,-52.2371,301.5331,14.8675,3083,-5026,1565
186,35.255,0.39,112.5,7885,8119,7530,-734,-305,-305,68.3,0.02511737636842085,0.6932,18.8863,107.2409,-42.4979,311.8408,17.066,5177,-5783,2383
205,35.065,0.39,103.0,7300,7456,6943,-641,-267,-267,68.6,0.0231593551296077,0.7735,-1.9137,96.2229,-62.2519,290.9997,11.9506,2613,-6810,1544
211,36.098,0.243,165.8,10417,10313,10244,-1839,-738,-738,63.4,0.0341703059120987,0.9055,-54.269,317.6049,-61.476,241.3354,-5.4383,-4925,-9008,-977
212,36.475,0.4,197.2,11218,11442,10860,-3453,-1314,-1314,56.6,0.03622506073851931,0.7969,15.9657,106.3215,-45.3441,308.8749,16.3793,6889,-8547,3227
218,30.505,0.132,12.6,964,1190,607,-337,-117,-250,48.2,0.002024734057852783,0.8349,16.1462,106.4392,-45.1797,309.0668,16.3813,719,-886,335
222,35.515,0.49,126.8,7551,7796,7202,-2102,-805,-805,57.9,0.024023286136170913,0.8274,22.6417,108.6214,-38.889,315.7318,17.6368,5320,-5187,2362
247,37.115,0.48,264.9,17352,17561,16991,-1987,-821,-821,67.0,0.05667587541511802,0.9117,11.498,104.6638,-49.671,304.3704,15.2864,9562,-13983,4630
250,34.843,0.123,93.0,7242,7488,6894,42,18,18,75.5,0.022995908722960604,0.8959,23.2009,108.8694,-38.3606,316.3212,17.6719,5160,-4928,2273
257,35.225,0.45,110.9,7956,8217,7619,-532,-224,-224,70.1,0.025414248413147204,0.9335,28.5557,110.4106,-33.1535,321.8893,18.4845,6131,-4810,2605
259,34.945,0.41,97.5,6422,6647,6065,-1123,-449,-449,63.2,0.020230662373767923,0.9346,16.1868,106.5852,-45.1656,309.129,16.2962,4026,-4950,1865
262,35.44,0.63,122.5,9025,8973,8796,-179,-77,-77,73.5,0.029340297813629457,0.9529,-43.6183,330.1062,-70.9101,251.3872,-1.8546,-2863,-8499,-290
279,32.325,0.39,29.2,2242,2481,1890,-286,-116,-145,65.1,0.006304361399245074,0.9956,20.7523,108.2286,-40.7606,313.8141,17.1417,1641,-1711,731
280,35.355,0.353,117.8,10471,10380,10282,1679,792,792,89.7,0.034297060268274,1.005,-51.3941,320.0168,-64.1324,244.075,-4.5326,-4525,-9306,-820
282,35.893,0.11,150.9,11264,11376,10921,-78,-34,-34,74.5,0.036428534836590185,1.0062,-11.1742,85.7159,-70.5384,282.0792,8.9703,2351,-10989,1774
292,36.045,0.39,161.8,11874,11787,11681,-92,-40,-40,74.4,0.038963621960096145,1.0626,-50.646,320.6758,-64.8255,244.7939,-4.3153,-5006,-10634,-887
293,35.149,0.342,107.1,7201,7297,6865,-1016,-413,-413,65.3,0.02289917513535314,1.0502,-14.5236,79.4469,-73.2684,278.8786,7.8763,1115,-7142,1000
296,34.935,0.39,97.1,7891,8097,7530,391,174,174,79.1,0.02511737636842085,0.9977,10.7714,104.4665,-50.3915,303.6586,15.0353,4333,-6509,2100
298,33.425,0.39,48.4,4455,4699,4106,513,238,238,85.7,0.013696141748836124,1.0613,22.5881,108.8749,-38.992,315.7164,17.4148,3210,-3131,1406
301,34.325,0.39,73.3,5075,5264,4714,-710,-288,-288,65.1,0.015724211447640888,1.1043,6.1776,102.3575,-54.8049,299.0853,13.8112,2484,-4467,1257
305,33.095,0.39,41.6,3114,3301,2753,-343,-140,-140,66.7,0.009183019540805127,1.12,5.8473,102.2018,-55.1233,298.7605,13.712,1543,-2812,783
309,33.495,0.4,50.0,4776,5047,4452,745,353,353,90.1,0.01485027351822173,1.1364,33.559,111.8448,-28.3012,327.1516,18.9598,4010,-2590,1640
312,33.265,0.46,45.0,3838,3969,3488,145,64,64,78.3,0.011634715640511543,1.2723,-7.0934,92.0568,-67.1443,286.1007,9.964,1084,-3756,687
322,34.88,0.5,94.6,8229,8244,7943,989,457,457,85.7,0.026494996081589218,1.2313,-30.5078,11.8304,-79.2725,263.7831,2.4292,-893,-8188,349
329,34.125,0.47,66.8,7195,7351,6838,1917,970,970,104.2,0.022809112829649637,1.1969,-1.5703,97.3454,-62.1021,291.4585,11.642,2633,-6701,1483
337,35.38,0.54,119.1,9031,8899,8891,160,70,70,76.4,0.0296571837040677,1.2426,-60.0263,313.3381,-56.1533,235.9182,-7.4898,-4945,-7307,-1160
345,34.505,0.65,79.6,6262,6494,5908,28,12,12,75.4,0.019706966744306824,1.247,18.2988,107.7337,-43.198,311.3473,16.4356,4114,-4676,1837
354,34.85,0.276,93.3,6210,6401,5849,-1036,-415,-415,63.6,0.019510163928139916,1.254,6.9357,103.0053,-54.1303,299.8794,13.8586,3096,-5389,1533
367,35.175,0.41,108.4,7409,7495,7078,-895,-367,-367,66.5,0.023609666658125205,1.3197,-16.4769,75.466,-74.9101,277.0957,7.0061,918,-7382,914
378,34.55,0.276,81.3,5335,5518,4974,-1036,-410,-410,62.0,0.016591478095156084,1.398,5.1765,102.2912,-55.8471,298.1668,13.2725,2535,-4735,1267
382,35.647,0.124,134.7,10580,10494,10386,548,244,244,79.2,0.03464396692728007,1.3769,-50.3393,320.5559,-65.1881,245.1508,-4.4012,-4398,-9494,-805
388,29.65,0.1,8.5,726,753,431,-206,-73,-173,50.7,0.0014376612503040353,1.383,-28.0984,24.834,-79.7884,266.0981,3.1192,-51,-750,41
393,35.775,0.41,142.9,9522,9816,9273,-1175,-482,-482,66.5,0.030931398547724642,1.3928,53.6315,116.0841,-8.6294,348.4276,19.8899,9042,-1853,3339
415,34.956,0.119,98.0,7571,7828,7232,20,9,9,75.2,0.024123355364730356,1.2411,27.3869,110.4224,-34.3534,320.7141,18.0434,5761,-4714,2425
424,34.42,0.74,76.6,5749,5846,5412,-248,-105,-105,71.7,0.01805248883212399,1.487,-13.9957,81.7267,-73.1154,279.5193,7.6419,958,-5715,777
426,34.275,0.308,71.6,6643,6887,6295,1011,477,477,89.4,0.020997859792723672,1.468,22.5358,109.3301,-39.1295,315.7325,17.0359,4715,-4597,2018
448,35.285,0.44,114.0,8982,8996,8697,335,148,148,78.0,0.029010069359383286,1.5171,-30.6287,10.8315,-79.4757,263.7526,2.1567,-979,-8936,339
449,35.43,0.382,121.9,10246,10150,10063,1152,529,529,84.7,0.03356655489979004,1.5169,-52.4011,318.4432,-63.3393,243.227,-5.165,-4554,-9025,-914
451,34.075,0.44,65.3,5674,5892,5316,484,220,220,82.5,0.017732267300733764,1.51,14.4174,106.6979,-47.0183,307.456,15.3752,3455,-4510,1562
461,34.315,0.46,72.9,5588,5882,5344,-50,-22,-22,74.3,0.017825665247389245,1.5557,54.5321,116.3406,-7.76,349.3843,19.7877,5440,-1020,1991
462,34.665,0.43,85.7,8121,8175,7809,1510,725,725,93.0,0.026048020194023695,1.5522,-22.8526,53.11,-78.9015,271.1069,4.7233,157,-8146,673
485,33.99,0.5,62.8,6194,6340,5840,1201,582,582,94.4,0.01948014315957208,1.6186,-3.7161,96.3411,-64.2414,289.4849,10.6261,2078,-5874,1169
507,34.975,0.41,98.9,7554,7807,7213,-62,-27,-27,74.4,0.024059978186642707,1.6672,26.1546,110.5528,-35.6387,319.4988,17.4744,5662,-4837,2344
515,34.133,0.15,67.1,5256,5453,4896,-70,-30,-30,73.9,0.016331298100901524,1.7061,8.6286,104.5594,-52.6444,301.683,13.8441,2780,-4506,1305
517,35.095,0.39,104.5,7905,8138,7552,-130,-56,-56,73.7,0.025190760469364443,1.7097,19.3219,108.6462,-42.3093,312.4827,16.2092,5277,-5764,2272
527,34.255,0.5,71.0,4258,4542,3961,-1296,-489,-489,56.4,0.013212473810798804,1.724,41.7405,114.0896,-20.3652,335.8192,19.2667,3911,-1757,1499
548,34.555,0.41,81.5,5440,5656,5082,-941,-376,-376,63.2,0.016951727317970088,1.7566,14.1065,106.9212,-47.3799,307.1962,15.0736,3301,-4351,1471
558,35.825,0.4,146.2,10179,10238,9864,-816,-341,-341,69.2,0.03290276235034572,1.7926,-21.7865,58.4852,-78.6051,272.1907,4.863,389,-10194,868
559,34.125,0.39,66.8,5384,5599,5026,79,35,35,76.2,0.016764931424659124,1.7982,13.7686,106.8523,-47.717,306.8644,14.9591,3245,-4328,1445
564,33.685,0.276,54.6,4551,4808,4213,165,73,73,78.1,0.014053055330698146,1.8159,27.7082,111.1073,-34.1472,321.1296,17.5889,3568,-2876,1453
574,34.005,0.46,63.2,5144,5434,4867,184,81,81,78.0,0.01623456451329406,1.8367,46.9882,115.1637,-15.2174,341.378,19.4862,4854,-1636,1812
584,35.52,0.61,127.1,10502,10423,10301,1018,464,464,83.3,0.03436043744636164,1.8844,-48.8266,321.4034,-66.6971,246.6916,-4.2119,-4114,-9547,-766
591,29.51,0.1,8.0,305,587,5,-592,-10,-478,0.6,1.6678204759907602e-05,1.9335,40.8759,114.0867,-21.244,334.9193,19.0438,503,-235,192
613,34.575,0.43,82.2,6432,6632,6072,3,1,1,75.0,0.020254011860431794,2.0567,9.8732,105.6599,-51.5436,303.0129,13.8101,3508,-5401,1583
616,35.826,0.101,146.3,11571,11767,11210,549,244,244,78.9,0.03739253507171285,1.4333,8.322,103.9866,-52.8603,301.3086,14.0306,5931,-9754,2853
617,34.315,0.39,72.9,8743,8998,8404,3063,1636,1636,117.8,0.0280327265604527,2.0428,27.0044,111.1717,-34.8774,320.4342,17.2794,6623,-5473,2673
621,27.48,0.1,3.1,222,215,-46,-281,0,-281,0.0,-0.00015343948379114994,2.0562,-34.5788,351.4759,-78.117,260.183,0.4032,-37,-212,2
627,31.395,0.39,19.0,1518,1535,1231,-190,-77,-132,65.0,0.004106174011889252,2.0869,-29.9154,13.993,-80.1378,264.59,1.9316,-145,-1527,52
634,35.095,0.39,104.5,6769,6766,6498,-1195,-478,-478,63.3,0.021674994905975922,2.1438,-33.8584,354.2103,-78.5856,260.8864,0.575,-1072,-6680,68
635,35.67,0.72,136.1,9115,9226,8773,-1194,-488,-488,65.9,0.02926357807173388,2.1429,-10.9494,88.9479,-70.9364,282.6429,7.9783,1999,-8915,1281
637,36.73,1.02,221.8,11778,11916,11427,-4611,-1702,-1702,53.1,0.038116369158292834,2.149,-5.2167,96.061,-65.828,288.1816,9.685,3664,-11160,2005
638,35.435,0.51,122.2,8174,8460,7886,-1080,-441,-441,65.9,0.026304864547326272,2.1497,44.0966,114.8603,-18.1027,338.3306,19.1155,7428,-2952,2770
642,34.005,0.44,63.2,4387,4664,4076,-613,-249,-249,65.1,0.013596072520276678,2.177,37.4481,113.6137,-24.6493,331.3318,18.5422,3879,-2122,1483
644,34.005,0.39,63.2,4591,4839,4248,-440,-182,-182,67.9,0.014169802764017499,2.2052,24.5402,110.723,-37.3192,317.9189,16.7244,3440,-3106,1393
657,35.695,0.5,137.7,10892,11095,10533,479,213,213,78.6,0.03513430614722136,2.269,10.5653,106.2734,-50.9311,303.7563,13.7727,5987,-8960,2641
658,34.975,0.4,98.9,6674,6878,6315,-970,-393,-393,64.9,0.021064572611763303,2.2676,10.919,106.4159,-50.5891,304.1098,13.8579,3744,-5529,1647
659,35.045,0.39,102.1,6976,6977,6701,-817,-335,-335,66.8,0.02235213001922817,2.2642,-32.9142,358.1175,-79.1634,261.8105,0.7938,-994,-6905,97
679,34.233,0.159,70.2,4888,5157,4565,-637,-259,-259,65.8,0.015227200945795641,2.2651,33.1514,112.8067,-28.8858,326.8462,17.9743,4107,-2683,1591
690,35.095,0.39,104.5,8308,8565,7972,296,131,131,77.9,0.026591729669196682,2.4508,27.8324,111.8023,-34.1379,321.3501,17.0535,6394,-5114,2512
692,36.334,0.424,184.8,14821,14810,14556,1193,538,538,81.8,0.048553589697043015,2.535,-35.2543,347.7313,-78.0123,259.6758,-0.1911,-2655,-14570,-49
693,35.935,0.57,153.8,17244,17497,16905,5889,3079,3079,114.8,0.05638901029324761,2.4647,26.7909,111.5697,-35.1618,320.2775,16.8736,12877,-10702,5079
695,32.635,0.39,33.7,1830,1677,1716,-793,-284,-508,51.2,0.005723959873600289,2.4696,-64.3717,310.2377,-52.163,231.9111,-9.36,-1021,-1302,-273
698,33.856,0.197,59.0,4582,4833,4242,-137,-59,-59,72.6,0.01414978891830561,2.499,25.9058,111.3921,-36.0356,319.3712,16.6962,3513,-3015,1389
701,29.27,0.1,7.1,545,586,241,-294,-84,-253,33.8,0.0008038894694275464,2.4847,-24.9639,43.686,-80.4343,269.3872,3.2262,-6,-585,33
706,35.579,0.267,130.6,9725,9606,9569,18,8,8,75.1,0.031918748269511174,2.7724,-56.9983,313.6942,-59.2789,239.0705,-7.307,-4898,-8172,-1222
718,34.12,0.52,66.7,6314,6442,5966,1042,495,495,90.9,0.019900433919521753,2.5976,-7.0844,95.1454,-67.7141,286.5052,8.7109,1809,-6106,976
725,34.615,0.39,83.8,6004,5936,5791,-394,-166,-166,70.2,0.019316696752924988,2.5879,-46.4344,323.0411,-69.0569,249.114,-3.882,-2112,-5533,-402
727,36.085,0.49,164.8,11484,11692,11126,-874,-366,-366,69.5,0.0371123412317464,2.5907,12.1415,107.3707,-49.4852,305.4102,13.8366,6577,-9253,2796
742,34.935,0.39,97.1,7035,7293,6701,-448,-189,-189,70.3,0.02235213001922817,2.6364,28.9963,112.262,-33.0268,322.5793,17.0737,5536,-4237,2141
743,35.245,0.49,111.9,8176,8306,7827,-396,-168,-168,71.4,0.02610806173115936,2.6533,-6.6397,95.7583,-67.332,286.9517,8.789,2393,-7852,1269
768,35.281,0.231,113.8,7529,7784,7193,-1173,-474,-474,64.4,0.02399326536760308,2.7839,27.9031,112.1679,-34.1249,321.4721,16.774,5830,-4643,2247
772,35.885,0.41,150.3,10233,10482,9892,-1083,-448,-448,67.5,0.032996160297001205,2.7375,25.56,111.5692,-36.4169,319.0538,16.4256,7594,-6590,2964
789,35.265,0.39,113.0,7783,7780,7511,-791,-327,-327,67.8,0.0250539991903332,2.8039,-33.5239,354.0841,-79.2282,261.3833,0.1668,-1166,-7692,23
791,35.254,0.176,112.4,8153,8411,7819,-438,-185,-185,71.0,0.02608137660354351,2.6602,28.6628,112.2113,-33.3582,322.2381,17.0016,6358,-4926,2459
798,34.165,0.39,68.1,6034,6219,5675,643,296,296,84.6,0.01892976240249513,2.8429,6.3894,105.3436,-55.1083,299.7463,12.1936,3016,-5278,1314
817,35.115,0.5,105.4,7787,7801,7502,-251,-107,-107,72.6,0.025023978421765368,2.9454,-30.1342,11.5405,-80.7978,264.6274,1.1577,-731,-7765,158
832,36.195,0.41,173.4,10761,11009,10420,-2202,-873,-873,61.7,0.034757378719647444,3.025,24.9884,111.7503,-37.0277,318.5148,16.07,7924,-7008,3047
833,34.075,0.39,65.3,6355,6562,5998,1175,566,566,93.3,0.02000717442998516,3.0372,12.0457,107.9892,-49.6827,305.4191,13.3897,3699,-5202,1519
836,33.89,0.54,60.0,5446,5603,5091,651,302,302,86.0,0.01698174808653792,3.0252,-0.4151,101.8405,-61.6654,293.1081,10.2092,2164,-5072,993
843,35.01,0.56,100.5,10406,10435,10111,2776,1396,1396,103.3,0.033726665665485156,3.0784,-27.2888,29.6371,-81.3019,267.3584,1.9686,-481,-10417,358
847,35.405,0.39,120.5,7626,7866,7280,-1571,-620,-620,61.6,0.02428346613042547,3.0655,22.3219,111.1389,-39.651,315.7974,15.5452,5432,-5284,2108
858,36.055,0.43,162.6,12167,12326,11812,-13,-5,-5,74.9,0.039400590924805724,3.1437,0.0497,102.3837,-61.262,293.5953,10.2234,4855,-11117,2188
859,35.085,0.4,104.0,8486,8667,8128,490,219,219,79.8,0.0271120896577058,3.1594,5.5053,105.4583,-56.0445,298.9553,11.6628,4109,-7428,1752
866,35.115,0.57,105.4,7579,7836,7246,-510,-214,-214,70.0,0.0241700543380581,3.2042,28.8056,112.8039,-33.3054,322.4637,16.553,5956,-4577,2233
867,34.695,0.41,86.9,5962,6201,5616,-800,-326,-326,65.6,0.01873295958632822,3.2213,22.0707,111.2591,-39.9256,315.5701,15.3557,4270,-4186,1642
869,33.545,0.47,51.2,4766,5033,4444,650,305,305,87.9,0.014823588390605878,3.2271,33.3615,113.7532,-28.8226,327.1759,17.2046,4040,-2606,1489
874,34.415,0.49,76.4,4951,5229,4647,-1005,-396,-396,61.6,0.015500723503858126,3.2532,39.2459,114.8597,-23.0228,333.306,17.8882,4445,-2236,1606
880,36.09,0.59,165.2,11936,12069,11587,-432,-184,-184,72.3,0.03865007171060988,3.265,-5.7253,98.1115,-66.7295,288.0159,8.4742,3691,-11352,1778
892,36.29,0.54,181.1,15257,15233,15002,1919,886,886,86.1,0.05004128556162677,3.2616,-37.3944,338.7874,-76.9296,257.8426,-1.4412,-3208,-14887,-383
902,34.405,0.48,76.0,5354,5489,5004,-620,-254,-254,66.7,0.01669154732371553,3.3933,-5.0931,98.9926,-66.1891,288.6651,8.5348,1737,-5143,815
906,34.825,0.47,92.3,5198,5487,4930,-1882,-696,-696,54.1,0.016444709893268898,3.4263,48.6959,116.5387,-13.7069,343.2346,18.5001,4982,-1501,1741
912,33.645,0.65,53.6,4694,4946,4357,384,174,174,82.3,0.014533387627783485,3.4854,26.9675,112.7041,-35.1585,320.6175,16.0054,3674,-3017,1364
916,35.31,0.54,115.3,11001,11139,10651,2234,1081,1081,94.9,0.03552791177955518,3.4491,-4.475,99.6614,-65.6317,289.28,8.6592,3635,-10395,1677
924,31.685,0.49,21.7,1687,1896,1331,-292,-115,-180,61.5,0.004439738107087404,3.498,12.9349,108.9713,-48.9191,306.4152,13.159,1096,-1485,432
930,29.06,0.1,6.5,470,518,162,-324,-77,-281,25.0,0.0005403738342210063,3.5164,-23.1821,55.9027,-80.6717,271.3799,2.906,12,-518,26
937,34.395,0.41,75.7,5848,6035,5490,-105,-45,-45,73.6,0.01831266882637855,3.5532,7.4113,106.98,-54.3035,300.9394,11.7701,3037,-5068,1231
944,35.23,0.74,111.2,8620,8746,8273,112,49,49,76.0,0.02759575759574312,3.5774,-6.9836,97.6171,-68.0115,286.8911,7.8109,2517,-8291,1189
948,32.885,0.74,37.8,2770,2937,2414,-399,-160,-165,64.3,0.008052237258083392,3.5724,2.2556,104.5295,-59.2824,295.8715,10.4101,1260,-2599,531
963,33.383,0.148,47.5,3950,4104,3596,68,30,30,76.4,0.011994964863325549,3.6327,-0.7376,102.8518,-62.1618,292.9641,9.5362,1579,-3727,680
974,34.752,0.263,89.2,5186,5474,4916,-1673,-628,-628,55.8,0.016398010919941156,3.7458,48.2506,116.6867,-14.1786,342.7784,18.2641,4965,-1539,1715
976,34.775,0.45,90.2,5821,6012,5464,-1192,-470,-470,61.5,0.01822594216162703,3.6522,8.2796,107.4995,-53.485,301.8234,11.8926,3102,-4999,1239
978,34.625,0.39,84.1,5393,5621,5043,-1175,-460,-460,60.7,0.016821637320842808,3.6671,18.5822,110.8972,-43.4287,312.1218,14.2463,3654,-4041,1383
982,34.04,0.61,64.3,4603,4468,4467,-296,-124,-124,70.3,0.014900308132501454,3.6785,-60.3285,311.0974,-56.2137,235.9957,-8.7359,-2470,-3660,-679
983,33.977,0.327,62.4,5476,5601,5130,509,233,233,83.3,0.0171118380836652,3.6868,-7.2705,97.5907,-68.3182,286.6462,7.6232,1590,-5319,743
997,37.145,0.46,268.5,17018,17240,16666,-2575,-1047,-1047,64.8,0.05559179210572402,3.7619,16.8372,110.5391,-45.1571,310.3845,13.786,10847,-12754,4108
1014,26.065,0.41,1.6,119,86,-127,-249,0,-249,0.0,-0.0004236264009016531,3.726,-39.1992,332.8691,-75.73,256.2474,-2.3622,-20,-83,-4
1034,28.4,0.1,4.8,376,432,63,-296,-48,-260,13.2,0.0002101453799748358,3.8547,-21.4446,65.7098,-80.022,273.13,3.1559,24,-431,24
1037,34.055,0.092,64.7,5559,5782,5208,419,190,190,81.6,0.01737201807791976,3.9201,17.3976,110.9041,-44.6374,310.9815,13.7596,3683,-4240,1375
1038,26.38,0.1,1.9,160,162,-116,-257,0,-257,0.0,-0.0003869343504298564,3.8802,-32.1807,357.8449,-80.7097,262.946,-0.2569,-20,-160,-1
1047,34.24,0.54,70.5,7629,7627,7357,2176,1112,1112,106.4,0.024540310483728046,4.1964,-32.8836,353.3301,-80.5511,262.3632,-0.7317,-1014,-7559,-97
1051,33.255,0.39,44.8,4213,4431,3860,536,250,250,87.1,0.01287557407464867,3.9636,16.0899,110.5977,-45.9279,309.6778,13.4337,2751,-3317,1029
1056,34.485,0.39,78.9,5486,5698,5132,-701,-286,-286,65.9,0.017118509365569166,3.9897,14.0757,110.0404,-47.906,307.6678,12.9563,3393,-4396,1277
1083,34.998,0.3,99.9,7799,7926,7453,104,45,45,76.1,0.024860532015118272,4.2442,-6.4807,99.7458,-67.7877,287.5707,7.3235,2373,-7495,1010
1089,34.085,0.39,65.6,4873,5131,4544,-317,-133,-133,70.1,0.015157152485804029,4.1189,29.924,113.9641,-32.3382,323.7462,15.9446,3978,-2918,1410
1106,33.705,0.39,55.1,3963,4148,3606,-484,-197,-197,66.1,0.012028321272845364,4.1841,7.0762,107.8889,-54.7789,300.77,11.0799,2082,-3498,797
1107,30.535,0.67,12.8,1135,1340,780,-177,-69,-129,61.1,0.002601799942545586,4.2012,12.35,109.8072,-49.6371,305.9965,12.3552,769,-1059,287
1109,32.935,0.45,38.6,3963,4096,3615,745,361,361,94.5,0.012058342041413197,4.212,-5.2682,100.7484,-66.6386,288.7325,7.7035,1303,-3844,549
1123,34.345,0.39,74.0,5071,5352,4779,-695,-282,-282,65.4,0.015941028109519688,4.271,42.1615,116.1555,-20.2578,336.4319,17.4155,4680,-2042,1602
1130,33.125,0.39,42.2,3233,3299,2914,-224,-94,-94,69.6,0.009720057734074151,4.2926,-19.3015,75.9915,-78.9059,275.2982,3.4316,304,-3279,197
1137,35.2,0.52,109.6,11001,11140,10651,2653,1313,1313,99.9,0.03552791177955518,4.2904,-3.7136,102.1745,-65.1947,290.2594,8.0717,3818,-10348,1564
1139,34.755,0.39,89.3,5660,5844,5304,-1292,-504,-504,60.2,0.017692239609309986,4.3303,6.7231,107.9923,-55.156,300.4598,10.8497,2909,-4947,1100
1145,34.52,0.63,80.2,6839,6952,6498,585,266,266,82.4,0.021674994905975922,4.4379,-9.4307,97.1528,-70.5974,284.7856,6.2788,1763,-6682,760
1152,34.345,0.55,74.0,6012,6148,5664,198,88,88,77.7,0.018893070352023332,4.4007,-4.6262,101.7201,-66.0946,289.4076,7.7069,2024,-5746,824
1154,33.735,0.39,55.8,4842,5100,4514,374,169,169,81.8,0.015057083257244584,4.3994,30.2049,114.2997,-32.099,324.075,15.7502,3975,-2880,1384
