sn_name,z,z_frame,mu,mu_source,mu_err,m_b_corr,m_b_corr_err,host_logmass,host_logmass_err,ra,dec,vpec,is_calibrator
2005ms,0.02595,CMB,35.308,SH0ES,0.179587,16.055,0.177546,8.49436,0.102,132.31,36.13,-217.485,0
1999gp,0.02603,CMB,35.2688,SH0ES,0.183373,16.0158,0.181374,10.9727,0.28089,37.9131,39.3812,-258.629,0
180166,0.14757,CMB,39.161,SH0ES,0.170177,19.908,0.168022,10.0333,0.078,242.843,55.0642,-54.9867,0
13796,0.14729,CMB,38.9672,SH0ES,0.171803,19.7142,0.169668,9.66952,0.055,350.692,0.5329,-47.1324,0
190340,0.13824,CMB,39.0229,SH0ES,0.12425,19.7699,0.121281,10.0088,0.034,334.134,0.4733,-42.3456,0
20084,0.13834,CMB,39.0401,SH0ES,0.319084,19.7871,0.31794,9.92013,0.096,347.975,-0.5781,-46.7375,0
2011dn,0.02443,CMB,34.4583,SH0ES,0.333265,15.2053,0.332169,9.15925,0.013,299.648,2.6045,-205.825,0
2007sw,0.025,CMB,34.9117,SH0ES,0.306484,15.6587,0.305292,8.41811,0.131,183.404,46.4934,-50.8392,0
090275,0.13959,CMB,39.0213,SH0ES,0.145767,19.7683,0.143245,10.184,0.008,54.0721,-28.0515,10.2624,0
1794,0.1407,CMB,39.1775,SH0ES,0.184019,19.9245,0.182028,11.0328,0.076,317.837,-0.4453,-30.0157,0
2012bh,0.025,CMB,35.1989,SH0ES,0.238281,15.9459,0.236747,8.41938,0.003,183.406,46.4835,-50.8392,0
340229,0.14108,CMB,39.0407,SH0ES,0.212429,19.7877,0.210706,9.69378,0.1,35.879,-2.8604,-41.6636,0
PS17akj,0.0478,CMB,36.5627,SH0ES,0.208806,17.3097,0.207053,8.85712,0.005,207.455,-3.08,8.6079,0
2635,0.14311,CMB,39.047,SH0ES,0.160602,19.794,0.158316,9.59628,0.054,52.7043,-1.2381,-35.6881,0
PS15aii,0.04768,CMB,36.5946,SH0ES,0.145385,17.3416,0.142856,10.3823,0.012,191.19,9.7597,-26.3507,0
PS16fa,0.04734,CMB,36.6009,SH0ES,0.161688,17.3479,0.159417,10.2881,0.013,154.819,4.7617,-74.0873,0
17497,0.14388,CMB,39.0756,SH0ES,0.170594,19.8226,0.168444,10.0189,0.052,37.1366,-1.0421,-43.3932,0
8921,0.1441,CMB,39.016,SH0ES,0.24096,19.763,0.239442,9.52063,0.058,325.002,-0.0079,-34.8884,0
AT2017yk,0.04764,CMB,36.7582,SH0ES,0.280677,17.5052,0.279376,10.0803,0.003,146.133,-12.3082,207.291,0
2002bf,0.02494,CMB,34.9063,SH0ES,0.269066,15.6533,0.267708,10.3104,0.031,153.926,55.6685,-91.716,0
5395,0.11635,CMB,38.6302,SH0ES,0.185742,19.3772,0.18377,8.49999,0.075,49.6409,0.1233,-46.6658,0
8719,0.11628,CMB,38.5408,SH0ES,0.159897,19.2878,0.157601,8.80164,0.07,7.7215,-0.7188,-58.0587,0
18612,0.11365,CMB,38.3876,SH0ES,0.194923,19.1346,0.193044,10.2452,0.092,12.2879,0.597,-61.6063,0
2006ot,0.05232,CMB,36.8679,SH0ES,0.208308,17.6149,0.206551,11.3736,0.17,33.7702,-20.7662,85.9349,0
1993B,0.07076,CMB,37.2944,SH0ES,0.277681,18.0414,0.276366,9.39781,,158.717,-34.4417,146.875,0
2008Y,0.07028,CMB,37.2961,SH0ES,0.226908,18.0431,0.225296,10.544,0.004,169.877,54.4628,-79.0466,0
PS16fbb,0.05139,CMB,36.8804,SH0ES,0.16836,17.6274,0.166181,8.77965,0.014,1.7631,-20.6968,91.7398,0
2009cz,0.02315,CMB,34.8582,SH0ES,0.260273,15.6052,0.258869,10.5159,0.001,138.75,29.7353,-82.8904,0
PS15bwh,0.07149,CMB,37.2494,SH0ES,0.16107,17.9964,0.158791,10.6434,0.1,352.644,-18.8915,-27.116,0
ASASSN-15nr,0.02309,CMB,34.8331,SH0ES,0.263771,15.5801,0.262385,9.88465,0.013,261.674,13.9098,-101.959,0
2004bk,0.02405,CMB,34.8391,SH0ES,0.21588,15.5861,0.214185,7.0,,204.37,4.1031,155.85,0
Gaia16aki,0.07398,CMB,37.5535,SH0ES,0.176502,18.3005,0.174425,9.48062,0.013,239.794,14.6416,15.2964,0
2007qe,0.0228,CMB,35.0406,SH0ES,0.206572,15.7876,0.2048,8.34246,,358.554,27.4093,-227.141,0
PS17bii,0.07467,CMB,37.4501,SH0ES,0.192118,18.1971,0.190211,10.167,0.002,171.409,7.3336,58.3422,0
2005ir,0.0749,CMB,37.5656,SH0ES,0.154994,18.3126,0.152624,9.78987,0.09,19.1825,0.7946,-83.8601,0
ATLAS17bas,0.02331,CMB,34.5715,SH0ES,0.261746,15.3185,0.260349,8.18544,0.001,166.898,22.8514,-76.1109,0
ASASSN-16hc,0.05165,CMB,36.5862,SH0ES,0.156832,17.3332,0.154491,10.7547,0.001,209.768,33.139,40.677,0
AT2016htn,0.05229,CMB,36.8411,SH0ES,0.218249,17.5881,0.216572,10.2648,0.001,32.8711,-16.5102,20.9412,0
18650,0.11243,CMB,38.6214,SH0ES,0.163201,19.3684,0.160952,8.53633,0.076,328.447,0.0151,-45.0863,0
SN2016ixf,0.06723,CMB,37.4237,SH0ES,0.194412,18.1707,0.192528,9.99601,0.018,159.936,15.0347,32.3162,0
2008eq,0.0568,CMB,37.0687,SH0ES,0.221323,17.8157,0.21967,10.1809,0.004,255.03,23.1324,-136.253,0
SN2016gmb,0.05708,CMB,36.9545,SH0ES,0.182842,17.7015,0.180838,9.39885,0.003,8.6861,-6.1589,-343.702,0
2001ah,0.05837,CMB,36.9802,SH0ES,0.215566,17.7272,0.213869,10.5719,0.02,167.624,55.1608,-138.06,0
490007,0.05513,CMB,36.8676,SH0ES,0.194374,17.6146,0.19249,9.16275,0.067,184.268,46.6275,-80.9386,0
PS16ayd,0.05485,CMB,36.8581,SH0ES,0.149593,17.6051,0.147136,10.4328,0.024,216.826,-1.6753,45.7329,0
2008bz,0.0613,CMB,37.1631,SH0ES,0.123921,17.9101,0.120944,10.3562,0.0,189.741,11.1295,88.7212,0
2006lu,0.05449,CMB,36.8631,SH0ES,0.133817,17.6101,0.131065,10.0668,0.14,138.824,-25.6001,291.109,0
2010dt,0.05291,CMB,36.8474,SH0ES,0.172204,17.5944,0.170074,10.1659,0.441,250.811,32.6751,-69.1188,0
2006oa,0.06142,CMB,37.0747,SH0ES,0.183316,17.8217,0.181317,8.11091,0.115,320.929,-0.8435,-33.0806,0
1992bs,0.0637,CMB,37.3517,SH0ES,0.206518,18.0987,0.204745,10.5104,0.28089,52.3749,-37.2718,-4.4741,0
PS16evk,0.0532,CMB,36.9144,SH0ES,0.207509,17.6614,0.205745,9.93232,0.001,338.344,-1.357,165.11,0
2007ae,0.06485,CMB,37.0851,SH0ES,0.153034,17.8321,0.150634,10.8837,3.812,255.467,79.0318,-135.085,0
PS15cms,0.06603,CMB,37.3617,SH0ES,0.203312,18.1087,0.201511,10.4286,0.001,149.646,0.743,-69.583,0
6057,0.06652,CMB,37.1627,SH0ES,0.296189,17.9097,0.294956,9.52798,0.049,52.5536,-0.9746,-6.3317,0
ASASSN-15tz,0.0222,CMB,34.9543,SH0ES,0.274039,15.7013,0.272706,10.1999,0.005,40.287,43.6802,-424.049,0
370333,0.07557,CMB,37.6342,SH0ES,0.198325,18.3812,0.196478,7.99137,0.1,164.38,57.2977,-84.0517,0
2010ao,0.02422,CMB,34.943,SH0ES,0.2098,15.69,0.208056,8.813,0.003,205.921,3.9,155.85,0
2006sr,0.02307,CMB,34.9949,SH0ES,0.180801,15.7419,0.178773,10.7951,0.05,0.8959,23.1962,-237.713,0
PS1-14xw,0.02436,CMB,35.1049,SH0ES,0.31033,15.8519,0.309153,9.22547,0.007,253.24,2.3935,74.4935,0
160099,0.10142,CMB,38.2982,SH0ES,0.165557,19.0452,0.16334,9.5937,0.288,214.667,54.1831,-60.6658,0
000190,0.10237,CMB,38.4085,SH0ES,0.187412,19.1555,0.185457,7.0,0.52,148.988,2.2635,44.0736,0
140181,0.10231,CMB,38.2511,SH0ES,0.199553,18.9981,0.197718,9.67327,0.008,183.738,46.845,-41.2939,0
PS15asb,0.04952,CMB,36.4714,SH0ES,0.18553,17.2184,0.183555,10.2884,0.1,215.085,-9.3009,-107.07,0
2000bh,0.02421,CMB,34.8782,SH0ES,0.224067,15.6252,0.222434,9.5093,,185.313,-21.9988,25.4885,0
2007F,0.0242,CMB,34.9421,SH0ES,0.208286,15.6891,0.206529,9.63941,0.003,195.813,50.6188,9.672,0
18697,0.10638,CMB,38.2611,SH0ES,0.195537,19.0081,0.193664,9.67706,0.043,11.2239,-0.9971,-61.7105,0
20625,0.10684,CMB,38.4624,SH0ES,0.151122,19.2094,0.14869,10.0166,0.048,5.6834,-0.479,-62.2616,0
2006cq,0.04928,CMB,36.5828,SH0ES,0.168097,17.3298,0.165914,10.6551,0.401,201.105,30.9563,-44.6685,0
21034,0.10751,CMB,38.4984,SH0ES,0.180059,19.2454,0.178023,10.0033,0.041,28.1414,1.2441,-62.8826,0
500038,0.1081,CMB,38.4017,SH0ES,0.187108,19.1487,0.185149,9.73659,0.104,150.193,2.5513,42.5255,0
020027,0.10988,CMB,38.5701,SH0ES,0.179741,19.3171,0.177701,10.0054,0.107,186.336,46.0152,-37.194,0
iPTF17dz,0.09284,CMB,38.2226,SH0ES,0.493293,18.9696,0.492553,8.80725,0.138,126.107,24.9978,-26.3455,0
300105,0.09181,CMB,38.1602,SH0ES,0.266341,18.9072,0.264969,9.04492,0.059,351.71,-0.7301,-65.6529,0
370066,0.09066,CMB,38.0269,SH0ES,0.167553,18.7739,0.165363,9.12019,0.034,130.349,43.0544,-62.1878,0
2005ag,0.08024,CMB,37.6668,SH0ES,0.119289,18.4138,0.116193,10.69,0.12,224.182,9.3285,42.0914,0
2007kh,0.04944,CMB,36.5403,SH0ES,0.453411,17.2873,0.452607,9.56783,0.063,48.8004,43.1703,-250.684,0
2007hx,0.07849,CMB,38.0942,SH0ES,0.180119,18.8412,0.178084,10.2646,0.11,31.6128,-0.8995,-72.372,0
560033,0.07869,CMB,37.5988,SH0ES,0.503338,18.3458,0.502614,9.07144,0.368,353.599,-0.6831,-74.4184,0
12779,0.07891,CMB,37.7843,SH0ES,0.238199,18.5313,0.236664,10.332,0.083,309.472,1.2211,-40.944,0
PS15bzz,0.07901,CMB,37.53,SH0ES,0.147217,18.277,0.14472,10.4626,0.053,9.4247,1.7628,-83.7337,0
350316,0.07966,CMB,37.6003,SH0ES,0.157805,18.3473,0.155478,8.61131,0.566,131.469,43.8188,-69.2072,0
12950,0.08141,CMB,37.7215,SH0ES,0.219648,18.4685,0.217982,9.42557,0.04,351.667,-0.8403,-71.2932,0
590194,0.09015,CMB,37.9202,SH0ES,0.21704,18.6672,0.215354,9.75408,0.014,130.237,44.5243,-65.5475,0
PS16dnp,0.04998,CMB,36.8583,SH0ES,0.163226,17.6053,0.160978,8.04941,0.285,344.915,2.1498,-70.9704,0
2000ca,0.02454,CMB,34.8993,SH0ES,0.190331,15.6463,0.188406,7.0,0.28089,203.846,-34.1603,185.438,0
SN2016glp,0.08366,CMB,37.9686,SH0ES,0.221594,18.7156,0.219943,10.5245,0.014,354.058,23.696,-121.995,0
3592,0.08544,CMB,37.8406,SH0ES,0.128563,18.5876,0.125696,10.1853,0.057,19.0524,0.7919,-76.2223,0
SN2016grz,0.08656,CMB,37.8484,SH0ES,0.21681,18.5954,0.215122,8.99392,0.027,28.8874,33.8229,-133.261,0
1241,0.08848,CMB,37.7772,SH0ES,0.253181,18.5242,0.251737,9.91509,0.103,337.672,-0.7766,-59.4892,0
2008050,0.04627,CMB,36.2636,SH0ES,0.218105,17.0106,0.216428,9.02736,0.0,204.198,5.1418,6.3868,0
2007bd,0.03141,CMB,35.4957,SH0ES,0.175954,16.2427,0.17387,10.4344,0.002,127.889,-1.1994,62.7014,0
PS16axi,0.04056,CMB,36.1263,SH0ES,0.168835,16.8733,0.166662,10.1805,0.001,162.03,0.1635,-93.2801,0
2006en,0.03081,CMB,35.6847,SH0ES,0.188076,16.4317,0.186128,10.183,0.058,347.521,30.2233,-236.154,0
2008bq,0.03279,CMB,35.7279,SH0ES,0.17805,16.4749,0.175991,10.9133,10.0,100.26,-38.0386,328.616,0
ASASSN-16oz,0.03207,CMB,35.4592,SH0ES,0.276064,16.2062,0.274741,8.01111,0.008,135.056,-13.634,42.8736,0
2006az,0.03158,CMB,35.4896,SH0ES,0.148675,16.2366,0.146203,11.1124,0.021,183.061,56.1794,-124.251,0
010026,0.03174,CMB,35.6746,SH0ES,0.20211,16.4216,0.200299,9.61222,0.01,160.674,58.8438,-178.946,0
AT2017po,0.03201,CMB,35.576,SH0ES,0.196814,16.323,0.194953,8.98827,0.082,240.965,39.9901,-156.239,0
2008fr,0.0379,CMB,36.1141,SH0ES,0.236153,16.8611,0.234604,8.07746,0.075,17.9548,14.6408,-110.971,0
2007ux,0.03183,CMB,35.8808,SH0ES,0.19004,16.6278,0.188113,10.0948,0.01,152.333,14.9924,-233.209,0
2007O,0.03732,CMB,35.8617,SH0ES,0.152703,16.6087,0.150297,10.8351,0.031,224.022,45.4047,-245.945,0
ASASSN-15pr,0.03189,CMB,35.9082,SH0ES,0.198168,16.6552,0.19632,9.55707,0.002,346.664,-12.5728,-217.887,0
2008gb,0.03641,CMB,36.0889,SH0ES,0.198876,16.8359,0.197034,9.17934,4.495,44.488,46.8657,-447.194,0
SN2016hpx,0.0337,CMB,35.6329,SH0ES,0.204026,16.3799,0.202232,9.09468,0.013,90.8194,-26.8986,254.849,0
SN2017cii,0.03337,CMB,35.8381,SH0ES,0.178659,16.5851,0.176607,8.8988,0.002,248.333,23.7313,138.77,0
2006te,0.03212,CMB,35.7248,SH0ES,0.15355,16.4718,0.151157,10.4808,0.076,122.929,41.5547,-227.18,0
2000dn,0.03081,CMB,35.707,SH0ES,0.22057,16.454,0.218912,7.0,,346.274,-3.2003,-192.92,0
CSS160428,0.03081,CMB,35.7017,SH0ES,0.164289,16.4487,0.162055,10.078,0.1,200.78,52.6491,-196.002,0
1999cc,0.03132,CMB,35.5877,SH0ES,0.169094,16.3347,0.166924,11.2896,0.095,240.675,37.3596,46.9799,0
2003fa,0.04015,CMB,36.0818,SH0ES,0.14498,16.8288,0.142444,10.3091,4.257,266.032,40.881,-119.777,0
PS15cze,0.03891,CMB,36.5486,SH0ES,0.234635,17.2956,0.233076,10.4136,0.013,56.8476,0.8772,-414.188,0
2008dr,0.03996,CMB,36.284,SH0ES,0.147901,17.031,0.145415,11.3888,,332.715,2.1082,-51.0533,0
2008gg,0.03107,CMB,35.67,SH0ES,0.236835,16.417,0.235291,10.9334,,21.346,-18.1724,-18.6955,0
2013fn,0.02724,CMB,35.2892,SH0ES,0.298907,16.0362,0.297685,7.2614,0.036,315.099,-14.4978,-18.0539,0
ATLAS17axb,0.03264,CMB,35.5602,SH0ES,0.185563,16.3072,0.183588,9.60754,0.002,205.847,-19.9437,351.466,0
ASASSN-15np,0.03832,CMB,36.026,SH0ES,0.219507,16.773,0.21784,10.1408,0.001,226.511,7.5615,-150.196,0
2008051,0.03835,CMB,36.0125,SH0ES,0.17035,16.7595,0.168197,8.26419,0.0,229.995,4.9046,-109.175,0
2009bv,0.03748,CMB,36.2564,SH0ES,0.149974,17.0034,0.147524,10.123,0.342,196.835,35.7844,-287.734,0
ASASSN-15hg,0.03107,CMB,35.6461,SH0ES,0.196214,16.3931,0.194347,10.2789,0.006,148.452,9.1939,-105.007,0
2004as,0.0325,CMB,35.7324,SH0ES,0.22019,16.4794,0.218528,8.76504,,171.413,22.8304,-136.074,0
2007jg,0.03652,CMB,36.2185,SH0ES,0.171341,16.9655,0.169201,8.21426,10.0,52.4617,0.0568,-297.735,0
PTSS-16efw,0.03542,CMB,36.234,SH0ES,0.188455,16.981,0.186511,9.96056,0.006,263.908,8.809,-76.0813,0
ASASSN-15jl,0.03492,CMB,35.8816,SH0ES,0.169326,16.6286,0.167159,8.79586,0.142,230.671,50.9766,-56.2292,0
1992bg,0.03574,CMB,35.8937,SH0ES,0.211664,16.6407,0.209934,10.4968,0.28089,115.486,-62.5194,169.302,0
2001eh,0.03627,CMB,36.0067,SH0ES,0.135213,16.7537,0.13249,11.1794,,24.5504,41.6552,-283.424,0
2000cf,0.03646,CMB,36.0475,SH0ES,0.166339,16.7945,0.164133,9.49238,0.28089,238.234,65.9369,-178.209,0
2002hu,0.03591,CMB,35.9637,SH0ES,0.166565,16.7107,0.164362,10.099,4.71,34.5836,37.4663,-326.811,0
ASASSN-15tg,0.03445,CMB,35.861,SH0ES,0.1686,16.608,0.166424,10.227,0.004,5.171,25.229,-241.332,0
2016fbk,0.03495,CMB,35.9591,SH0ES,0.225173,16.7061,0.223548,10.765,0.002,26.0272,34.3827,-233.258,0
2003kc,0.0341,CMB,35.8566,SH0ES,0.205773,16.6036,0.203994,10.3635,0.045,146.643,30.6553,-200.587,0
