AGC,RAJ2000,DEJ2000,cz,rgal,Vgal
12731,23 40 39.0,+20 26 28,6401,9673,-3272
330761,23 40 42.4,+27 10 39,9833,4005,5828
36226,23 40 45.4,-24 41 38,6510,6057,453
36230,23 40 53.9,-28 20 21,8019,7812,207
330765,23 41 06.0,+25 10 18,11536,15955,-4419
12734,23 41 19.5,+04 01 03,5911,4703,1208
331608,23 41 30.9,+09 04 23,4908,5217,-309
332110,23 41 46.4,+25 43 09,11336,12491,-1155
331095,23 42 30.9,+28 02 41,6827,4763,2064
36252,23 42 32.1,-65 57 21,10063,8831,1232
331611,23 42 42.5,+08 29 21,10939,11158,-219
12746,23 42 46.7,+27 17 49,7093,7020,179
331297,23 42 49.5,+27 07 08,7352,5961,1391
331612,23 43 13.8,+08 34 53,10400,11318,-918
332120,23 43 17.3,+27 23 38,17068,17706,-638
36266,23 43 47.5,-36 42 50,12256,11379,877
630257,23 44 10.4,-06 10 09,1757,1619,138
331185,23 44 13.1,+28 16 19,6802,6074,728
12762,23 44 32.1,+21 56 32,5003,3771,1271
12764,23 44 38.9,+22 00 39,5079,1004,4038
331617,23 44 45.4,+08 35 42,19122,20328,-1206
330872,23 45 06.5,+09 03 37,11984,9781,2203
36298,23 45 30.5,-20 58 43,9796,11977,-2181
12772,23 45 32.2,+27 21 37,7341,7149,627
36309,23 46 15.1,-28 05 54,8102,8479,234
630396,23 46 35.7,-28 00 19,14622,14209,413
12777,23 46 37.8,+03 47 59,2566,1954,429
630397,23 46 40.9,-28 05 57,16506,15187,1319
630400,23 47 13.4,-28 01 00,9784,6864,1849
12781,23 47 15.4,+32 46 57,4526,4111,460
630269,23 47 16.6,-15 18 21,7005,6053,952
331619,23 47 27.3,+09 15 55,12550,12863,-313
331620,23 47 29.9,+09 09 01,11155,10814,341
331343,23 47 38.2,+27 31 12,7982,9781,-2005
36344,23 47 52.0,-53 21 49,9676,9322,354
330925,23 48 01.7,+27 37 24,7960,8949,-1173
630408,23 48 38.2,-28 06 48,10011,8006,707
36357,23 49 00.0,-19 41 31,5453,4712,741
630413,23 49 00.1,-28 02 24,10100,7525,1188
12792,23 49 01.5,+26 47 17,11174,7662,3512
630414,23 49 15.5,-27 58 32,9898,10702,-1989
330940,23 49 47.6,+30 02 20,4795,2624,2171
12799,23 49 53.7,+02 42 13,4951,5286,-331
330958,23 50 59.8,+27 13 09,7130,7482,294
12810,23 51 06.2,+01 03 24,7748,6725,1023
12814,23 51 20.8,+49 04 42,5521,6326,-805
332080,23 51 23.4,+06 06 30,16362,13988,2374
12816,23 51 50.6,+03 04 57,4959,5083,-128
330980,23 51 58.9,+27 20 15,7783,7981,-205
12818,23 52 11.1,+08 23 41,5201,4117,1084
36409,23 52 16.1,-29 26 48,8730,9555,-842
630424,23 52 16.8,-29 26 21,42578,41744,834
630425,23 52 16.8,-29 32 17,8825,8151,562
36414,23 52 27.5,-18 25 23,10896,10158,738
331811,23 53 01.1,+11 16 59,4878,6522,-1644
12825,23 53 13.4,+10 53 40,21098,19856,1242
330992,23 53 18.5,+27 42 20,7609,6920,856
12832,23 53 29.4,+11 19 02,6010,6375,-325
12833,23 53 32.2,+08 07 04,4847,5525,-635
330996,23 53 47.6,+27 25 44,7622,9799,-2023
12830,23 53 49.9,+10 56 40,4911,6532,-1656
12834,23 53 54.0,+07 58 14,5018,5477,-587
36439,23 54 11.3,-17 48 53,10849,8588,2261
630329,23 54 35.0,-14 31 48,5170,4949,221
36454,23 55 14.5,-23 49 59,3616,3591,25
12844,23 55 39.4,+19 30 55,7542,9900,-2358
36459,23 55 54.5,-60 40 48,4065,4617,-552
12850,23 56 06.1,+29 22 39,6593,7085,-512
12849,23 56 07.7,+00 32 58,6308,5668,712
331021,23 56 33.9,+27 12 14,7562,8202,-426
12855,23 56 37.3,+27 06 15,7538,7687,89
12854,23 56 42.1,+13 46 33,10487,8654,1833
12857,23 56 47.4,+01 21 18,2098,2410,-312
12860,23 56 57.9,+10 49 27,4852,4549,327
12864,23 57 24.0,+30 59 31,4354,3524,1027
36493,23 57 28.3,-29 02 48,8570,8556,14
12866,23 57 53.2,+22 21 19,7725,8618,-893
36508,23 58 17.2,-30 06 36,8743,8926,-183
12871,23 58 30.5,+09 58 21,6050,7326,-1276
630350,23 59 05.7,-04 07 34,5390,5359,12
12881,23 59 19.4,+04 45 38,3508,4339,-831
12882,23 59 20.2,+31 17 06,4670,5937,-1386
12886,23 59 30.4,+18 12 12,6275,8867,-2592
332117,23 59 46.2,+04 52 38,8852,5468,3384
332118,23 59 57.8,+04 54 10,8840,10140,-1300
