AGC,RAJ2000,DEJ2000,cz,rgal,Vgal
111669,01 06 43.6,+02 49 18,5112,7352,-2240
20808,01 07 10.3,-42 23 23,7809,6529,1280
20819,01 07 24.1,-69 52 35,1439,1499,-60
410622,01 07 24.4,-46 59 36,9332,9175,-135
690,01 07 32.8,+39 23 59,5592,5398,194
698,01 07 56.1,+02 32 43,9739,10411,-672
20826,01 08 25.2,-23 30 24,7771,7614,157
20845,01 08 59.9,-45 20 52,9153,8465,575
111414,01 09 00.3,+33 31 21,10990,13187,-2197
410650,01 09 15.6,-46 18 22,8832,7912,1128
20852,01 09 31.9,-47 47 26,7445,6804,641
723,01 09 56.0,+20 46 18,4780,4091,630
20858,01 10 05.5,-35 29 26,6260,6047,213
725,01 10 10.3,+43 06 29,4766,3848,918
20859,01 10 18.3,-35 44 09,3323,3986,-663
110090,01 10 21.2,+30 11 01,6523,6566,-43
410673,01 10 45.7,-46 32 40,8936,8972,68
410067,01 10 52.5,-05 49 03,5436,4825,611
111673,01 10 53.1,+02 37 07,13221,15121,-1900
111433,01 10 54.7,+33 33 46,11036,13144,-2108
110104,01 11 06.2,+15 10 22,11119,7332,3787
110957,01 11 07.7,+15 01 05,17757,19983,-2226
20879,01 11 12.5,-58 50 20,4697,4950,-253
110864,01 11 35.4,+00 27 39,4234,5178,-944
20887,01 11 50.6,-55 51 23,5198,5091,107
20896,01 12 18.9,-50 24 05,7194,6315,879
763,01 12 55.7,+00 58 51,838,963,-125
110832,01 12 59.4,+15 35 29,11881,11723,158
20906,01 13 06.7,-34 00 53,10040,10773,-733
110963,01 13 11.9,+15 05 58,13315,14444,-1129
110967,01 13 22.8,+15 15 51,17580,14701,2879
110968,01 13 24.2,+15 14 27,12185,9198,2987
110868,01 13 32.9,+00 29 47,12921,9983,2938
110869,01 13 37.5,+00 25 25,13663,13102,561
110872,01 13 46.2,+00 18 20,12977,12114,863
20924,01 13 58.4,-62 24 02,4909,4245,664
20918,01 14 07.2,-32 39 02,3312,3847,-535
110972,01 14 15.7,+15 38 12,12504,12466,38
783,01 14 26.3,+42 33 23,5646,6131,-485
20927,01 14 29.9,-31 10 50,5286,7894,-2477
110877,01 14 32.7,+01 00 15,12502,12044,458
110879,01 14 43.8,+00 17 09,13238,13715,-477
410098,01 14 56.2,+00 07 49,12119,10021,2098
799,01 15 02.7,+06 51 27,5215,5298,-303
110163,01 15 03.7,+05 22 33,5006,3996,999
110975,01 15 08.9,+15 17 32,20014,13778,6236
805,01 15 29.8,+06 53 01,5208,5863,-868
806,01 15 30.5,-00 51 41,1451,1330,253
20940,01 15 33.0,-26 26 57,3439,2308,1055
110885,01 15 44.7,+00 19 58,13059,12779,280
410553,01 15 44.8,+00 13 58,12990,12606,384
111795,01 15 48.0,+05 06 41,4703,7463,-2760
410770,01 15 51.2,+00 08 48,11496,11889,-393
110976,01 15 51.6,+15 11 48,16084,16859,-775
20948,01 15 52.4,-54 33 15,5308,4787,521
20954,01 16 45.4,-52 26 06,8889,6514,2375
824,01 16 59.2,+13 01 28,5841,5822,-223
20960,01 17 15.7,-50 55 53,4745,5201,-456
20958,01 17 19.0,-33 50 23,5449,4976,440
110887,01 18 01.9,+00 18 53,12191,11094,1097
833,01 18 08.9,+11 22 53,4878,5167,-289
110977,01 18 14.6,+15 05 55,15939,14013,1926
835,01 18 40.2,+31 02 09,6548,7818,-1270
410556,01 19 04.2,-00 17 34,23099,23128,-29
858,01 19 44.9,+03 24 34,2062,3152,-1167
21001,01 20 04.4,-33 54 04,3359,3299,200
866,01 20 06.7,-00 12 20,1438,1817,-234
110218,01 20 14.6,+17 49 48,8397,4017,4380
110770,01 20 51.8,+01 15 46,9751,10807,-1056
21014,01 20 54.8,-36 19 23,9423,6983,2440
21019,01 21 03.9,-36 07 05,9331,8499,832
21020,01 21 06.5,-35 12 00,5703,7361,-1658
889,01 21 10.6,+17 52 06,8227,8136,91
21021,01 21 18.0,-22 48 05,5616,5587,29
886,01 21 20.3,+40 29 18,5589,4316,1273
894,01 21 21.3,+00 05 24,3481,3498,-17
111140,01 21 29.6,+05 17 48,15182,10894,4288
111144,01 21 29.7,+07 04 16,23546,19485,4061
903,01 21 48.0,+17 35 32,2210,3643,-1461
21033,01 21 48.3,-44 03 19,6983,7992,-1009
904,01 21 49.9,+18 16 02,7999,7520,479
21036,01 21 58.0,-34 08 36,9841,12289,-2448
914,01 22 09.5,+00 56 47,2034,1607,427
110255,01 22 17.1,+28 47 52,3916,3503,413
915,01 22 23.9,-00 52 32,7835,7633,257
21051,01 23 13.5,-32 50 26,9099,5873,3226
931,01 23 14.5,-00 42 04,1694,2309,-660
410148,01 23 17.0,-00 54 22,7458,7665,-207
21055,01 23 28.7,-56 41 16,5249,5204,45
940,01 23 37.9,+34 34 09,6708,8313,-1605
947,01 24 03.9,+12 55 02,2162,1969,130
949,01 24 08.7,+09 55 48,2093,3158,-1059
21067,01 24 16.5,-37 20 05,10102,10550,-448
955,01 24 29.9,+15 46 00,4741,5582,-841
21071,01 24 34.1,-33 10 23,9031,7404,1627
958,01 24 34.3,+16 32 11,2112,2566,-384
964,01 24 35.0,+07 43 15,2423,5873,-3444
970,01 24 45.8,+09 59 41,2415,2478,-49
110313,01 24 49.5,+32 14 04,10269,9709,560
21081,01 25 12.3,-35 48 59,10342,8519,1823
21085,01 25 12.8,-38 04 06,6288,5602,686
982,01 25 17.2,+09 15 49,2054,2079,20
21090,01 25 27.6,-38 16 01,5965,5660,305
410203,01 26 14.4,-06 05 37,1661,1725,-155
21103,01 26 42.1,-25 18 50,1349,1609,-260
111629,01 26 45.2,+14 37 30,6148,8991,-2843
21105,01 26 54.5,-36 33 21,5692,4336,1356
21112,01 27 05.9,-35 51 27,5811,5381,430
1027,01 27 09.6,+14 46 34,6138,5807,141
1029,01 27 21.3,+11 58 31,9132,9828,-685
1033,01 27 35.0,+31 33 17,3758,3695,206
21116,01 27 37.9,-21 38 33,5198,3955,1243
1045,01 28 00.9,+32 01 58,6132,5440,692
1057,01 28 53.2,+13 47 36,6028,6075,-127
21133,01 29 02.7,-35 35 54,5499,4552,947
1065,01 29 11.1,+11 08 25,5490,3900,1699
110363,01 29 13.1,+33 39 55,6334,9384,-3050
110369,01 29 46.1,+32 01 15,6055,6329,-274
1068,01 29 47.1,+45 35 56,4978,4062,916
1070,01 29 59.9,+40 58 26,2551,1440,1111
21143,01 30 04.2,-42 41 26,6536,7363,-827
1076,01 30 20.0,+17 01 17,12618,12884,-266
21148,01 30 29.1,-22 40 03,1369,1518,-149
21157,01 30 42.9,-51 08 26,3485,2680,805
21152,01 30 46.5,-23 35 15,5531,6157,-626
1082,01 30 55.2,+17 11 18,2500,3738,-1238
1083,01 30 58.2,+14 06 29,4218,4771,-570
111138,01 31 14.4,+14 01 00,8626,8169,457
1087,01 31 26.6,+14 16 37,4181,4198,3
21167,01 31 34.8,-41 31 52,6139,6005,134
21179,01 32 25.7,-34 36 30,5084,3620,1464
21214,01 32 48.4,-79 28 25,1748,1690,58
1110,01 33 17.7,+13 19 56,2462,2603,-141
1112,01 33 18.7,+03 04 14,1409,1780,-371
1118,01 33 41.8,+03 32 32,3215,2955,260
21196,01 33 59.6,-34 23 14,3589,3655,-66
21202,01 34 13.0,-25 34 03,5511,6284,-773
410269,01 34 35.0,-15 30 13,5179,7134,-1955
410271,01 35 05.7,-07 20 25,1549,1936,-366
21231,01 35 39.0,-41 17 24,7105,7455,-350
1144,01 36 04.6,+11 41 21,5540,4756,1192
21237,01 36 27.7,-36 22 30,5187,4807,380
1152,01 36 56.3,+31 59 06,6338,6838,-500
1167,01 38 20.8,+07 32 02,4004,4014,-9
21270,01 38 27.3,-33 36 28,8725,8823,-98
21327,01 38 48.2,-83 21 50,4919,4616,48
21282,01 38 53.1,-42 35 04,6046,5656,390
21280,01 38 59.0,-29 55 31,5630,9192,-3582
21297,01 39 57.3,-28 41 49,5670,5907,-204
1177,01 40 08.7,+05 43 35,3015,2495,361
21306,01 40 21.1,-28 54 50,5451,5864,-161
410313,01 40 27.7,-05 31 14,1841,2214,-373
410316,01 41 07.0,-05 34 03,1210,1533,-323
1187,01 41 24.5,+08 31 29,4004,3507,498
21360,01 41 32.7,-83 12 43,4639,4481,183
21319,01 41 49.3,-28 14 53,5550,5354,349
1189,01 41 55.0,+07 07 17,5175,5225,-50
21326,01 42 42.2,-18 13 41,4655,5046,-391
1202,01 42 57.5,+04 11 00,5277,5081,143
1201,01 43 01.7,+13 38 36,556,929,-448
21334,01 43 06.2,-44 12 52,6162,10341,-4179
1204,01 43 11.9,+04 16 41,5316,5264,-40
1205,01 43 14.2,+08 53 21,5241,4330,674
21341,01 43 32.5,-44 09 43,6230,5648,582
1210,01 43 45.8,+04 13 21,5139,4497,727
1218,01 44 17.4,+12 15 16,9934,9416,518
1219,01 44 20.6,+17 28 37,4314,4560,-246
21347,01 44 27.5,-40 39 52,9846,11449,-1603
110790,01 44 28.8,+27 55 44,3761,3868,-195
110856,01 44 44.9,+17 21 34,7789,6148,1641
110506,01 44 49.9,+21 52 56,10223,2269,7954
21359,01 45 10.3,-41 52 47,6179,7193,-1014
1235,01 45 35.6,+03 21 27,5047,5016,208
1233,01 45 41.3,+28 48 20,7567,7361,206
111640,01 45 42.1,+09 59 49,9137,7474,1663
111639,01 45 49.9,+09 51 45,5586,6546,-960
1237,01 45 54.9,+09 49 21,4917,4850,92
1244,01 46 49.5,+24 27 53,2844,3617,-893
1247,01 46 59.1,+13 07 30,5222,5700,-478
21379,01 47 12.9,-40 39 27,9817,8349,1468
111642,01 47 35.6,+11 28 08,5009,6703,-1694
21383,01 47 44.7,-33 36 09,8434,8038,396
410352,01 47 49.5,-16 43 24,4912,6563,-1651
110794,01 48 15.8,+32 21 36,10594,10800,-206
1259,01 48 22.4,+11 31 16,4895,4385,557
1261,01 48 33.5,+13 25 50,4728,4292,376
1264,01 48 37.9,+13 46 06,4504,5372,-868
21397,01 48 38.0,-48 49 11,6151,5363,788
1276,01 49 15.1,+20 42 40,2467,1876,381
110543,01 49 20.1,+27 42 44,10481,13071,-2590
1279,01 49 24.8,+13 22 07,4321,5164,-843
21408,01 49 47.3,-21 54 26,11597,10413,1184
21411,01 49 51.7,-27 27 55,3981,4964,-983
1289,01 50 03.7,+16 26 17,4690,4966,-314
1291,01 50 12.5,+27 11 45,3230,2619,688
1292,01 50 14.0,+27 38 45,3266,3303,4
110911,01 50 19.8,+33 09 17,9867,19345,-9478
1304,01 50 30.8,+06 08 41,1275,1457,-154
1305,01 50 41.6,+21 45 34,2387,2704,-447
410367,01 50 43.8,-12 01 00,5239,6198,-1067
110924,01 50 44.2,+33 35 45,9613,11475,-1862
1306,01 50 46.9,+32 32 47,11056,5574,5482
110927,01 50 48.8,+32 30 35,10972,13944,-2972
110930,01 50 51.0,+32 30 20,10293,6988,3305
1309,01 50 53.2,+18 18 08,4884,3681,820
110931,01 50 54.3,+32 27 15,10448,10800,-352
410955,01 50 54.8,-02 22 23,13842,15566,-1724
410368,01 51 03.6,-09 42 08,1560,1460,100
110804,01 51 06.9,+32 52 38,10696,9701,995
1313,01 51 08.6,+21 54 45,2664,1427,1297
110805,01 51 10.2,+32 37 23,10940,3745,7195
1317,01 51 17.6,+22 21 28,2848,2515,209
410956,01 51 21.0,-02 20 48,14202,14516,-314
110937,01 51 21.0,+33 03 32,25666,23161,2505
410377,01 51 28.2,-06 30 54,1855,3001,-1146
110943,01 51 46.0,+33 11 13,11153,11776,-623
21433,01 51 54.6,-24 18 59,8870,8314,556
1337,01 51 55.3,+08 49 52,5087,6674,-1670
21436,01 51 56.4,-31 44 12,3855,3907,-52
21441,01 52 33.0,-35 50 25,9675,8816,859
410490,01 52 41.5,-03 25 26,4852,7407,-2621
410491,01 52 44.7,-03 23 55,4852,5252,-466
410384,01 52 48.9,-03 26 48,4727,5531,-745
1351,01 52 59.6,+12 42 28,4276,4058,218
410965,01 53 04.7,-03 34 09,15299,8303,6996
1364,01 54 03.6,+14 54 34,4811,5563,-752
1369,01 54 13.5,+18 06 05,4652,3492,1009
21459,01 54 21.7,-49 15 35,5787,5895,-108
1373,01 54 24.0,+05 25 17,4666,3821,843
1372,01 54 31.2,+17 40 25,6608,5126,1482
1374,01 54 34.7,+16 51 57,4837,3178,1659
1377,01 54 37.5,+17 04 30,4485,6084,-1583
1383,01 54 41.0,+06 02 03,4960,6093,-1089
1386,01 54 59.6,+13 28 58,5942,2351,3591
110635,01 55 06.8,+05 22 25,5227,5155,72
1391,01 55 15.8,+10 00 47,5620,6578,-958
110649,01 56 03.2,+17 31 54,7924,8657,-733
1403,01 56 08.9,+17 38 26,11068,7088,4025
1407,01 56 11.2,+06 44 39,4805,4732,272
111360,01 56 12.4,+14 54 23,7804,4184,3620
1408,01 56 15.2,+13 09 56,7385,8436,-1051
1410,01 56 16.8,+04 38 48,4696,7780,-3116
410401,01 56 22.9,-09 03 49,1377,1648,-286
1417,01 56 42.8,+17 42 38,11153,10173,940
1420,01 56 43.4,+15 00 52,4395,5093,-736
21489,01 56 44.4,-43 58 22,5589,6059,-470
1426,01 56 53.3,-02 01 08,4170,4194,-24
1429,01 57 05.3,-00 28 08,6418,7898,-1480
1428,01 57 09.8,+14 32 59,7648,7471,-21
111644,01 57 15.1,+14 50 07,9704,10460,-756
110684,01 57 20.5,+04 20 54,4570,5245,-675
111241,01 57 28.1,+14 25 51,7598,7956,-358
21494,01 57 48.2,-33 14 25,5445,5823,-378
21501,01 57 58.1,-38 01 13,10924,9254,1670
1444,01 57 59.9,+04 23 41,4488,6024,-1360
21502,01 58 00.2,-35 34 25,9723,10182,-459
1448,01 58 08.5,+02 03 51,6013,6029,-16
21506,01 58 12.6,-39 32 43,5350,6088,-738
1451,01 58 30.1,+25 21 36,4648,3642,1018
1457,01 58 40.9,+00 31 44,6734,5491,1243
410414,01 58 52.1,-08 09 38,4523,2587,2173
1462,01 59 09.6,+25 23 08,4794,3426,1234
110712,01 59 15.6,+24 24 59,3647,1509,2138
1468,01 59 31.0,+13 56 36,4334,3644,713
110720,01 59 55.2,+24 18 44,4823,5050,-390
21532,02 00 10.0,-35 24 42,10257,11019,-762
1479,02 00 19.1,+24 28 26,4662,5721,-1061
1486,02 00 23.4,+24 34 50,4799,4043,617
21545,02 00 54.8,-31 55 12,5277,5394,-117
110758,02 00 56.6,+19 42 25,5349,5883,-534
1498,02 00 58.9,+08 18 39,4438,4558,-165
1500,02 01 12.2,+19 40 30,2162,2753,-496
21551,02 01 14.7,-34 21 49,4608,3334,1274
21567,02 01 59.3,-58 34 16,6280,4880,1400
21561,02 02 12.2,-28 39 28,4787,5157,-379
1536,02 02 55.0,+07 31 25,7316,7853,-537
1542,02 03 05.2,+02 36 50,6116,7072,-1024
1553,02 03 35.6,+04 47 07,4484,4699,-35
120006,02 03 37.0,+15 44 48,7704,8024,-320
120005,02 03 41.0,+26 16 36,4753,5207,-390
1554,02 03 44.8,+16 01 51,1829,1708,121
21582,02 03 49.1,-52 26 50,6183,6745,-930
21578,02 03 57.1,-23 18 50,4736,4791,-55
1564,02 04 04.9,+02 47 10,6046,4137,1911
121457,02 04 06.7,+02 40 16,6024,7395,-1371
121449,02 04 50.6,+34 48 14,11416,9515,1901
1580,02 05 13.9,+09 55 33,7491,6592,899
1576,02 05 14.9,+30 00 17,4980,4328,533
120020,02 05 21.0,+08 31 33,5487,7004,-1517
1584,02 05 26.7,+13 19 37,7258,6025,1425
21627,02 05 43.5,-71 06 55,8102,6492,1610
1592,02 06 03.1,+09 17 44,8974,7035,2089
21616,02 06 14.8,-41 31 18,5215,4022,1187
1594,02 06 19.4,+09 13 37,8950,7776,1348
21621,02 06 20.9,-52 01 44,5755,5300,515
1600,02 06 36.7,+01 30 56,6550,8391,-1774
21620,02 06 37.0,-31 46 44,10452,10274,178
1601,02 07 08.3,+42 57 55,5366,5096,344
1606,02 07 12.2,+08 58 40,7755,8626,-871
1610,02 07 28.5,+09 10 06,8832,7645,1479
21649,02 07 42.5,-65 55 41,8011,9106,-1095
21647,02 08 20.5,-24 32 53,9414,9660,-246
1629,02 08 25.0,+14 20 57,4152,4490,11
1635,02 08 27.7,+06 23 40,3250,2609,532
120052,02 08 30.5,+18 59 51,4939,5826,-887
1636,02 08 32.3,+06 19 24,3130,5191,-2050
1640,02 08 56.2,+07 58 15,3198,3655,-514
1647,02 09 02.2,+06 09 30,3053,4927,-1786
21656,02 09 18.2,-23 24 55,5112,5264,-152
420030,02 09 28.2,-09 40 46,1681,1854,-168
121507,02 09 43.0,+10 40 38,6562,5040,1522
1658,02 09 54.0,+10 57 38,4313,4625,-312
1659,02 09 56.9,+16 01 57,7975,7449,526
21668,02 10 06.5,-32 56 28,3156,3738,-582
1663,02 10 08.8,+07 38 42,3170,3872,-731
420037,02 10 14.6,-09 42 34,1756,1536,150
21669,02 10 15.9,-22 25 46,5357,5834,-477
1664,02 10 16.2,+07 50 41,7005,6231,844
1660,02 10 18.6,+38 35 36,7007,5723,1273
21671,02 10 39.7,-22 39 05,5002,6348,-1346
21700,02 10 40.8,-75 02 19,8111,8687,-576
21677,02 10 54.1,-39 21 54,5054,5718,-644
120082,02 11 02.7,+17 12 00,4051,3788,263
1674,02 11 11.0,+38 45 27,6978,6776,220
121188,02 11 11.2,+37 49 20,7264,10429,-3165
1683,02 11 25.3,+15 53 55,7548,8365,-678
21685,02 11 30.6,-35 50 13,6007,5337,670
420042,02 11 44.0,-06 29 25,4786,5753,-967
21688,02 11 46.5,-19 55 19,4109,5620,-1511
21687,02 11 48.1,-18 16 11,4791,5028,-237
21690,02 11 56.2,-20 22 31,9073,8170,903
1690,02 11 57.5,+29 18 48,4665,6206,-1345
1700,02 12 31.0,+16 51 19,3979,5955,-2187
21703,02 12 54.6,-19 19 00,2226,3415,-1189
1705,02 13 11.3,+09 30 38,7950,8548,-598
21728,02 13 12.3,-70 54 49,7960,7380,580
21713,02 13 26.2,-18 49 00,10201,9757,444
121412,02 13 30.4,+16 52 52,10580,14231,-3651
1706,02 13 33.9,+25 51 19,4537,3896,935
120106,02 13 38.2,+16 35 37,10835,9380,1455
1717,02 13 48.8,+16 47 49,10544,7776,2768
1719,02 14 04.3,+16 27 20,7964,8385,-421
21723,02 14 12.4,-31 08 55,3512,3789,-465
420050,02 14 25.9,-07 22 06,4757,3768,989
420385,02 14 35.9,-07 18 34,12437,10395,2042
1733,02 15 20.6,+22 00 20,4164,4483,171
21739,02 15 24.8,-17 46 52,4086,4190,-104
1739,02 15 44.2,+25 12 23,4835,4315,516
21745,02 15 49.9,-31 12 02,3332,4612,-1288
1738,02 15 54.2,+42 49 25,5468,5100,368
420055,02 16 10.6,-11 55 31,1665,1659,6
1747,02 16 15.2,+28 36 00,2750,2413,332
1754,02 17 02.2,+30 56 35,9916,7901,2015
1759,02 17 10.7,+14 32 53,3484,2523,979
1766,02 17 53.2,+14 31 16,3638,6381,-2879
21761,02 17 54.5,-34 48 11,6101,2792,3309
21792,02 17 56.7,-76 04 50,8167,3039,5128
1768,02 17 59.6,+14 32 38,3657,3545,-43
21762,02 18 02.8,-27 48 58,4709,4620,89
21768,02 18 34.4,-25 45 17,10516,9989,527
1777,02 18 44.1,+30 30 08,4486,5264,-795
420064,02 18 45.3,-06 38 23,5010,4478,625
120156,02 18 55.8,+15 09 33,3533,4060,-527
1785,02 18 57.1,+04 48 54,5548,10093,-4545
420067,02 19 32.7,-16 04 09,4084,4899,-815
1792,02 19 52.7,+29 02 09,4744,5591,-730
21793,02 19 59.0,-41 24 16,5913,4915,-151
121406,02 19 59.8,+08 10 44,8421,7788,633
21790,02 20 06.0,-19 45 01,2117,2349,-232
21801,02 20 16.5,-58 42 34,8892,8057,835
1801,02 20 19.9,+08 02 16,6931,7236,-305
1811,02 21 18.4,+13 43 03,7583,8533,-950
1814,02 21 23.8,+16 33 57,3854,2539,1229
1812,02 21 25.3,+25 25 22,4282,3342,1356
1817,02 21 31.1,+14 11 53,3492,4025,-523
420070,02 21 36.1,-05 31 14,2046,2232,-172
1820,02 21 46.3,+33 01 15,3714,2828,913
1822,02 21 48.4,+16 52 26,3716,4342,-574
21821,02 21 59.0,-37 27 21,4728,4603,222
1828,02 22 12.6,+28 44 03,4551,3950,519
1834,02 22 13.3,+12 01 48,3553,3710,-166
1835,02 22 40.9,+28 15 23,4848,5640,-792
120202,02 23 31.8,+25 27 54,11050,10138,912
121409,02 23 47.1,+27 28 23,10300,18191,-7891
120207,02 23 51.9,+25 32 30,4872,9046,-4174
1848,02 23 55.5,+27 29 32,10467,10549,-82
121408,02 24 23.5,+27 14 05,9442,9149,293
1862,02 24 24.7,-02 09 45,1142,1372,-98
21841,02 24 39.9,-19 08 28,9897,9369,528
1860,02 24 42.2,+25 33 39,9408,8869,539
21850,02 25 27.7,-25 38 24,4624,3037,1587
120235,02 25 38.4,+23 00 03,3954,5498,-1544
1888,02 25 50.9,+18 29 46,1264,1214,50
1887,02 26 05.0,+42 08 38,5325,6256,-931
1901,02 26 06.7,-00 19 55,6173,6060,100
1898,02 26 25.8,+22 59 45,9949,11321,-1372
420095,02 26 33.6,-15 50 12,6666,5821,845
120257,02 26 56.3,+20 31 58,3973,2382,1591
21871,02 27 04.8,-19 05 40,9750,10048,-298
1913,02 27 16.7,+33 34 45,327,468,-95
420105,02 27 32.2,-10 09 55,1867,1687,148
21885,02 28 05.3,-47 51 18,5376,4907,469
1935,02 28 14.6,+31 18 39,4760,3529,1301
1938,02 28 22.2,+23 12 53,6162,6852,-690
1946,02 28 27.4,+15 36 23,3837,4265,-497
21883,02 28 32.8,-18 58 56,4736,4033,703
21882,02 28 32.8,-19 02 26,4741,3994,747
21892,02 28 52.1,-41 24 09,5198,4549,649
1955,02 28 54.3,+25 20 38,4975,3961,1077
1958,02 28 58.8,+28 08 38,782,1484,-702
21894,02 29 07.4,-30 59 50,4731,5697,-966
1965,02 29 26.2,+20 13 02,3918,3406,452
1970,02 29 54.1,+25 15 22,1680,2292,-612
21912,02 30 23.3,-20 40 54,4640,4901,-261
1986,02 30 33.3,-01 06 31,1246,1903,-600
1980,02 30 33.6,+32 10 33,4549,5765,-1256
21917,02 30 35.6,-31 35 48,4434,4110,324
1995,02 31 26.2,+01 20 45,7057,7675,-762
1999,02 31 52.6,+19 09 10,734,1561,-827
2004,02 31 59.5,+00 54 34,6313,6002,324
21946,02 32 42.9,-33 00 07,10496,7554,2942
2020,02 32 53.9,+23 19 38,5326,5331,-45
420138,02 33 15.8,-11 44 40,4246,3219,1175
2028,02 33 18.2,+22 23 36,5195,5085,201
120344,02 33 31.0,+06 31 40,7957,5425,2532
120337,02 33 37.2,+32 32 15,9445,10368,-923
2037,02 33 38.8,+06 28 23,8094,7399,695
2044,02 33 56.4,+00 55 22,6347,3749,2577
2048,02 34 20.2,+32 30 19,4634,4234,275
420143,02 34 24.2,-10 50 47,4559,4936,-542
121426,02 34 26.4,+32 25 25,4677,5970,-1293
420150,02 34 53.8,-13 39 33,4551,4054,359
121427,02 35 09.9,+32 39 08,9550,12879,-3329
2064,02 35 10.1,+20 51 04,4031,2921,1098
2081,02 36 01.0,+00 25 11,2383,2975,-497
2079,02 36 09.7,+23 53 56,5421,3880,1541
2082,02 36 16.2,+25 25 23,480,1020,-540
2083,02 36 30.3,+32 42 53,4478,6101,-1592
21980,02 36 57.1,-29 11 30,4766,5046,-280
420158,02 36 58.8,-05 20 56,4198,3168,1030
2106,02 37 24.2,-01 49 18,8377,7014,1536
21986,02 37 36.3,-32 55 32,4387,4757,-370
2119,02 37 58.6,-01 50 40,8302,7581,969
2134,02 38 51.9,+27 50 48,4365,3034,1331
2138,02 38 55.6,+09 05 50,4894,4556,338
121185,02 38 58.4,+10 16 36,19525,17751,1774
2135,02 39 11.1,+41 14 45,4263,5711,-1282
2137,02 39 16.4,+40 52 21,423,876,-453
420612,02 39 18.4,-14 14 06,9484,7411,2073
2148,02 39 28.7,+12 40 47,3322,2993,509
120414,02 39 37.0,+10 50 37,8368,5149,3219
121240,02 39 37.2,+18 02 00,14693,16363,-1670
22008,02 39 42.2,-21 14 19,4366,4380,-14
2153,02 39 50.5,+18 01 28,8319,7862,457
120417,02 40 13.9,+17 52 56,8387,11110,-2723
2167,02 40 55.2,+08 35 44,5199,5928,-729
2173,02 41 45.2,+00 26 32,773,1579,-698
2171,02 41 55.1,+32 05 17,4348,4526,-17
22038,02 42 12.0,-19 49 45,7667,5958,1709
120454,02 43 01.7,+08 07 48,11222,10851,371
2185,02 43 11.4,+40 25 36,4154,4508,-354
22050,02 43 18.4,-23 50 23,6638,8301,-1663
2197,02 43 26.0,+31 28 15,4887,4305,637
2193,02 43 30.1,+37 20 27,316,166,150
2201,02 43 44.1,+32 29 46,3919,5357,-1473
2205,02 43 54.9,+33 10 06,5274,5456,-182
2220,02 44 43.0,+15 14 24,7291,7026,265
420233,02 45 05.5,-15 35 15,3811,4129,-296
420231,02 45 09.7,-04 42 37,7631,3135,4496
2223,02 45 14.2,+35 11 19,4779,4060,719
22075,02 45 17.6,-17 42 29,7358,7532,-174
22079,02 45 36.3,-27 57 36,6503,5075,1428
420450,02 45 47.0,-15 30 38,7685,8453,-768
420451,02 45 53.0,-15 33 45,10135,11959,-1824
2245,02 46 25.2,-00 29 56,1263,1333,-30
2247,02 46 33.9,-00 14 50,2545,2513,-35
2239,02 46 35.7,+32 26 58,4617,4872,-255
22104,02 46 37.1,-26 58 21,6958,8924,-1966
22105,02 46 40.7,-25 20 52,10290,8911,1379
420405,02 47 00.2,-00 09 20,22402,24589,-2187
2272,02 48 04.5,+27 06 09,5441,6282,-802
22132,02 48 27.5,-40 33 15,4688,4512,176
2283,02 48 40.4,+17 13 23,6250,4750,1466
22135,02 48 40.8,-31 32 09,4840,6127,-1287
22139,02 48 47.3,-36 42 51,4949,6554,-1605
2295,02 48 58.8,+03 10 08,3940,3985,-45
420260,02 49 07.7,-16 59 50,3277,3895,-802
22150,02 49 37.5,-30 59 40,6426,6682,-256
2312,02 49 39.0,+14 37 10,8855,8752,103
420428,02 49 49.3,-00 47 35,13137,15309,-2172
120539,02 49 53.1,+14 24 06,8463,8839,-376
420275,02 50 17.6,-08 35 49,5118,6942,-1964
120544,02 50 25.3,+13 15 58,8280,11249,-2969
22167,02 50 35.9,-31 31 09,6990,6050,940
2338,02 51 09.3,+02 35 36,4289,4222,67
22174,02 51 18.3,-28 12 04,4962,5403,-441
22185,02 51 57.5,-33 20 18,6245,6063,182
22188,02 52 26.5,-30 46 39,6613,7559,-946
22197,02 53 29.3,-30 51 35,6193,5766,427
121137,02 53 37.0,+15 52 38,14222,13559,663
2368,02 53 50.2,+12 50 56,3357,2604,735
2370,02 54 26.4,+42 38 58,1980,2579,-599
120589,02 54 32.4,+09 27 04,7995,5255,2740
121055,02 54 37.2,+16 04 51,15001,15937,-936
22209,02 54 56.1,-21 53 52,8462,8658,-196
22220,02 55 26.8,-42 22 09,5534,5139,395
121060,02 55 29.0,+16 13 33,20105,17968,2137
121061,02 55 31.6,+16 05 28,15084,20416,-5332
2392,02 55 46.4,+33 45 58,1348,1916,-568
2404,02 55 48.9,+01 04 44,4828,5990,-1162
2403,02 55 57.3,+00 41 31,3915,3686,223
121157,02 56 44.4,+15 59 30,24947,18572,6375
121402,02 56 51.9,+05 41 13,10965,12595,-1630
2424,02 57 07.5,+17 30 50,6770,7228,-458
22240,02 57 48.8,-36 42 01,6110,6096,14
2435,02 58 03.4,+35 15 26,4657,3186,1471
22261,02 58 08.0,-74 27 23,4772,4643,129
2443,02 58 21.5,-02 02 31,2319,2637,-318
2441,02 58 22.0,+03 51 45,2849,2465,406
121404,02 58 33.1,+05 57 17,13056,13297,-241
121035,02 58 45.0,+06 06 34,13289,14749,-1460
