# Homogeneous Kinematic Potential Catalog for SH0ES Host Galaxies
#
# Compatibility note: the filename and sigma_kms column are retained because
# historical pipeline steps consume them. sigma_kms is NOT a measured central
# stellar velocity dispersion. It is the declared potential-equivalent scale
# u_phi = V_rot / sqrt(2), computed from HyperLEDA's inclination-corrected
# maximum rotation velocity. The source V_rot and catalog uncertainty are
# preserved in adjacent columns.
#
# Query: http://atlas.obs-hp.fr/hyperleda/ledacat.cgi, fields vrot,e_vrot.
# Archive date: 2026-08-21. Reference: Makarov et al. 2014, A&A 570, A13.
# Rows 1-37 are the complete R22 SN-host set; final rows are ladder anchors.
# M1337 is Mrk 1337 (PGC 43690, SN 2006D), not NGC 1337.
galaxy,pgc,vrot_kms,vrot_error_kms,sigma_kms,error_kms,source_bibcode,source_url,method,notes,traceability_confidence,date_accessed
NGC 3972,37466,110.0,4.0,77.781746,2.828427,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 37466: vrot=110.0 +/- 4.0 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 3982,37520,195.6,6.6,138.310086,4.666905,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 37520: vrot=195.6 +/- 6.6 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 4038,37967,169.1,7.8,119.571757,5.515433,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 37967: vrot=169.1 +/- 7.8 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 4424,40809,28.6,1.1,20.223254,0.777817,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 40809: vrot=28.6 +/- 1.1 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 4536,41823,155.7,2.8,110.096526,1.979899,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 41823: vrot=155.7 +/- 2.8 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 4639,42741,165.9,3.1,117.309015,2.192031,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 42741: vrot=165.9 +/- 3.1 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 4680,43118,94.5,8.5,66.821591,6.010408,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 43118: vrot=94.5 +/- 8.5 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 5468,50323,150.9,4.4,106.702413,3.111270,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 50323: vrot=150.9 +/- 4.4 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 5584,51344,124.7,2.9,88.176216,2.050610,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 51344: vrot=124.7 +/- 2.9 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 5643,51969,171.2,4.3,121.056681,3.040559,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 51969: vrot=171.2 +/- 4.3 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
