6dFGS,RAJ2000,DEJ2000,czgal,czgr,log(Dz/DH),e_log(Dz/DH)
g0012187-370444,3.078,-37.0788,14973,,-0.0083,0.1144
g0012337-000255,3.1404,-0.0485,11576,,0.0781,0.1288
g0012593-064623,3.24705,-6.7732,11494,,-0.1038,0.119
g0013036-054331,3.2652,-5.7253,11583,,-0.0267,0.1072
g0013154-492027,3.3144,-49.3408,9786,,0.1201,0.1069
g0013197-373052,3.3318,-37.5145,15035,,0.0503,0.1008
g0013208-095522,3.3366,-9.9227,7842,,0.0356,0.1018
g0013242-145025,3.35085,-14.8403,10461,,0.0383,0.1293
g0013291-064744,3.37125,-6.7956,7897,,0.2294,0.1092
g0013340-413622,3.3918,-41.6061,11936,,0.0012,0.108
g0013478-042830,3.4491,-4.4751,10652,,0.091,0.0975
g0013531-124645,3.471,-12.7793,11206,,0.1091,0.1041
g0014186-065901,3.57735,-6.9836,8227,,-0.0034,0.1266
g0014219-835443,3.5913,-83.9119,15656,,-0.0029,0.1278
g0014428-601942,3.67845,-60.3284,4450,,-0.0479,0.1063
g0014446-072042,3.68565,-7.3451,5140,,0.0819,0.094
g0015120-432824,3.8001,-43.4733,15873,,-0.0861,0.1161
g0015165-571441,3.81855,-57.2448,9649,,0.122,0.0965
g0015191-614441,3.82935,-61.7446,8746,,-0.099,0.1039
g0015341-030338,3.89205,-3.0606,6454,,-0.2276,0.159
g0015440-330150,3.9333,-33.0306,7193,,0.1235,0.0961
g0015465-591341,3.9438,-59.2281,9121,9235,0.0557,0.093
g0016457-415843,4.19025,-41.9785,15776,,0.0845,0.1078
g0016458-082350,4.19055,-8.3973,10419,,-0.1561,0.1333
g0017029-094047,4.2621,-9.6797,6344,6356,0.0177,0.1094
g0017036-433727,4.26495,-43.6242,10927,,0.0827,0.1084
g0017054-132914,4.2726,-13.4871,6082,,0.1174,0.0983
g0017063-043637,4.2762,-4.6103,5767,,0.0671,0.0916
g0017071-343100,4.27965,-34.5168,15114,,0.2133,0.0943
g0017075-593940,4.28115,-59.6611,8734,,-0.1347,0.1051
g0017097-034249,4.29045,-3.7137,10653,,0.1125,0.0934
g0017231-625104,4.3461,-62.8512,14659,,0.0827,0.1263
g0017267-093158,4.3611,-9.5327,6404,6356,-0.0568,0.1116
g0017317-635250,4.3821,-63.8806,12506,,0.0683,0.1331
g0017348-042016,4.395,-4.3378,11703,,-0.1356,0.1106
g0017537-083912,4.4739,-8.6534,10300,,-0.1876,0.1277
g0017594-091620,4.49745,-9.2721,6644,6356,0.0032,0.0974
g0018047-335229,4.51965,-33.8746,7287,,0.0803,0.0936
g0018237-051822,4.59855,-5.3061,10325,,0.0329,0.1529
g0018390-151920,4.66245,-15.3223,7346,,0.0868,0.0953
g0018390-542516,4.6626,-54.4212,10144,,0.0373,0.1075
g0018485-151450,4.70205,-15.2472,7376,,-0.2121,0.1172
g0018507-082731,4.7112,-8.4587,6433,,0.0209,0.0963
g0018525-374024,4.7187,-37.6734,13209,,-0.0016,0.1109
g0018550-031634,4.72935,-3.2761,5826,5808,-0.03,0.093
g0019081-221120,4.7838,-22.1889,15759,,-0.0087,0.1111
g0019284-522137,4.86825,-52.3602,9953,,0.0469,0.1059
g0019365-614127,4.90185,-61.6909,10995,,0.0482,0.1033
g0019426-414840,4.92765,-41.811,15806,15837,-0.073,0.1065
g0019475-511510,4.94775,-51.2527,6350,,-0.0137,0.0971
g0020028-040306,5.0118,-4.0517,11584,,-0.1083,0.126
g0020112-032402,5.0466,-3.4006,11613,,0.0971,0.1006
g0020128-494032,5.05335,-49.6757,12848,,-0.0369,0.1029
g0020265-020643,5.1105,-2.1119,11552,,-0.1288,0.1177
g0020281-495632,5.11695,-49.9422,9791,,0.0399,0.1219
g0020374-131719,5.15565,-13.2887,16097,,-0.0443,0.1543
g0020419-042559,5.1747,-4.4331,5798,,0.0222,0.0978
g0021347-040719,5.3946,-4.122,11465,,-0.1568,0.1149
g0021463-114411,5.44275,-11.7364,14145,,-0.1384,0.1156
g0021512-013527,5.4633,-1.5909,11402,,0.1087,0.1224
g0021530-192626,5.47095,-19.4405,6789,,-0.1914,0.1588
g0022208-760951,5.5866,-76.164,14290,,0.0291,0.1263
g0022339-082911,5.6412,-8.4864,5356,,0.0367,0.108
g0022354-062027,5.6475,-6.3408,12158,,-0.1283,0.1211
g0022509-424509,5.712,-42.7524,10566,,-0.2122,0.1445
g0022530-143204,5.7207,-14.5344,6147,,-0.0215,0.0976
g0022581-423205,5.7423,-42.5346,16021,15837,-0.1572,0.1238
g0023015-565005,5.7564,-56.8348,10099,10310,0.0413,0.0926
g0023016-634960,5.75685,-63.8333,12627,,0.0738,0.1306
g0023068-570047,5.77815,-57.013,10370,10310,0.0574,0.095
g0023281-041454,5.8671,-4.2484,15603,,-0.0788,0.1214
g0023437-210058,5.9319,-21.0161,15488,15620,-0.0048,0.1187
g0023527-124104,5.96955,-12.6845,14298,,-0.1155,0.1134
g0024003-080207,6.0012,-8.0352,9463,,-0.0284,0.1377
g0024204-141356,6.0849,-14.2322,6927,6958,-0.0051,0.0957
g0024253-141457,6.1053,-14.2491,6957,6958,-0.1889,0.1048
g0024365-112948,6.1521,-11.4967,15975,,-0.0538,0.124
g0024365-135723,6.15225,-13.9564,7016,6958,-0.0024,0.0938
g0024438-050856,6.18225,-5.1487,5741,,0.1471,0.0953
g0024471-204356,6.19635,-20.7321,15218,15620,-0.0387,0.1307
g0024560-204353,6.23325,-20.7313,15878,15620,-0.0254,0.1207
g0024598-421233,6.24915,-42.2093,12333,,-0.0022,0.1251
g0025175-161010,6.32295,-16.1695,15806,,-0.0117,0.1149
g0025323-621608,6.3846,-62.2689,11959,,0.1381,0.1032
g0025516-204039,6.46485,-20.6774,15608,15620,0.0625,0.1279
g0025525-093943,6.4686,-9.6618,4850,,0.0671,0.0953
g0026032-072005,6.5133,-7.3346,15578,,0.1396,0.1245
g0026093-094546,6.53865,-9.7626,15343,,-0.027,0.1429
g0026546-023003,6.72765,-2.5009,4001,,0.0536,0.0965
g0026582-014710,6.74265,-1.7862,3820,,-0.0493,0.098
g0027100-070213,6.7917,-7.0369,15399,,-0.1334,0.1349
g0027160-415617,6.81675,-41.938,10473,,0.0747,0.1231
g0027301-013049,6.8754,-1.5135,3700,,0.0015,0.0963
g0027464-101547,6.94335,-10.2629,13935,,0.0135,0.113
g0028156-484003,7.06485,-48.6674,9277,,-0.0547,0.1055
g0028268-211512,7.1115,-21.2533,15881,,-0.064,0.1585
g0028395-113827,7.1646,-11.6407,5874,5812,-0.1116,0.0962
g0028397-130037,7.16535,-13.0102,7346,,0.0105,0.0927
g0029006-081906,7.25265,-8.3184,5868,,-0.1209,0.0964
g0029318-135937,7.3824,-13.9935,15863,,0.1506,0.1086
g0029417-513114,7.4235,-51.5207,3117,,-0.0589,0.0968
g0029494-011406,7.4556,-1.2349,9787,,-0.3549,0.1226
g0029574-051738,7.48905,-5.2938,7333,,0.0793,0.1036
g0030294-430525,7.6224,-43.0903,9701,,-0.1031,0.1158
g0030494-572826,7.7058,-57.4739,8486,8463,-0.1622,0.1175
g0030582-092415,7.7424,-9.4041,10488,,0.0097,0.1256
g0031106-562956,7.7943,-56.4989,8211,,0.0441,0.0999
g0031140-365114,7.8084,-36.8539,7005,7016,0.0832,0.0954
g0032068-130323,8.0283,-13.0563,15982,,-0.0921,0.1328
g0032235-421024,8.0979,-42.1734,9577,,0.1249,0.1141
g0032292-422726,8.12175,-42.4573,9698,,-0.013,0.098
g0032398-025457,8.16585,-2.9157,5293,5657,-0.0084,0.0934
g0032406-163759,8.16915,-16.6331,10084,,0.0479,0.1236
g0032418-822309,8.1744,-82.3858,12740,,-0.076,0.1292
g0032490-421707,8.20395,-42.2851,15874,,-0.0033,0.1191
g0032578-181245,8.24085,-18.2125,15875,,-0.0809,0.1067
g0033016-672835,8.25645,-67.4763,12201,,-0.0611,0.1058
g0033369-524807,8.40375,-52.802,14037,,0.153,0.0982
g0034015-430849,8.5062,-43.1468,15698,,0.0837,0.1108
g0034162-375314,8.5677,-37.8871,8929,,0.0222,0.1051
g0034195-123923,8.58105,-12.6562,7708,,0.0553,0.0925
g0034393-181241,8.66355,-18.2113,15546,,0.0629,0.1374
g0034420-181203,8.6748,-18.2008,15846,,0.2792,0.0944
g0034513-522145,8.71395,-52.3626,13496,,-0.134,0.1201
g0035112-435906,8.79675,-43.985,7368,,0.0697,0.1232
g0035131-373329,8.8047,-37.558,6920,,0.0762,0.0988
g0035132-604923,8.80485,-60.823,11923,,-0.2214,0.1771
g0035176-023908,8.8233,-2.6523,5744,5657,-0.1178,0.0958
g0035339-025055,8.8914,-2.8487,5684,5657,0.0778,0.1063
g0035407-091010,8.9196,-9.1696,16096,,0.1288,0.1132
g0035479-454021,8.9496,-45.6725,10824,,-0.2479,0.1245
