6dFGS,RAJ2000,DEJ2000,czgal,czgr,log(Dz/DH),e_log(Dz/DH)
g0559529-382737,89.97045,-38.4603,13758,13746,0.0329,0.1086
g0559530-642654,89.97075,-64.4484,13984,,-0.0578,0.1124
g0559598-455226,89.9991,-45.8739,12557,,0.0566,0.1012
g0600005-391448,90.0021,-39.2466,13489,13881,-0.1368,0.1223
g0600048-263342,90.0201,-26.5617,12020,12070,-0.1116,0.1145
g0600065-222542,90.02715,-22.4284,15168,,0.0441,0.105
g0600093-182746,90.03885,-18.4627,8331,8381,-0.166,0.1313
g0600275-585146,90.11445,-58.8628,11291,11368,-0.2121,0.1315
g0600289-385030,90.1203,-38.8416,14089,13881,0.0031,0.1035
g0600298-561055,90.1242,-56.1819,12552,,0.2051,0.1122
g0600398-582343,90.16575,-58.3952,11351,11368,0.0069,0.0996
g0600405-261405,90.1686,-26.2348,12651,12070,0.0476,0.1187
g0600412-535538,90.1716,-53.9273,10005,,0.1244,0.118
g0600434-570420,90.18105,-57.0722,11202,,0.0113,0.1083
g0600454-603122,90.189,-60.5229,10870,,-0.0539,0.1316
g0600481-152357,90.2004,-15.3992,6892,,0.2731,0.116
g0600491-583530,90.20445,-58.5916,11231,11368,0.0304,0.0978
g0601015-560801,90.25605,-56.1335,12492,,-0.0256,0.1069
g0601055-583717,90.27285,-58.6213,11411,11368,-0.0405,0.1045
g0601091-582545,90.288,-58.4291,10902,11368,-0.1933,0.1193
g0601241-583830,90.3504,-58.6415,10932,11368,-0.0045,0.115
g0601266-395921,90.3609,-39.9891,15079,13903,-0.2348,0.1233
g0601316-200816,90.3816,-20.1377,8274,8269,-0.1183,0.1063
g0601361-202030,90.4005,-20.3417,8454,8269,0.0483,0.0943
g0601520-482952,90.46665,-48.4977,15766,,-0.034,0.1149
g0601561-502512,90.4839,-50.4199,9349,,-0.0468,0.1064
g0601568-200813,90.4869,-20.137,8394,8269,0.035,0.0934
g0602008-581254,90.5031,-58.2149,11382,11368,0.0017,0.1427
g0602067-583643,90.528,-58.6119,11802,11368,0.1822,0.1138
g0602130-242530,90.5541,-24.425,12443,,-0.0378,0.1132
g0602173-395635,90.57195,-39.9429,14360,13903,-0.0718,0.1108
g0602186-390609,90.5775,-39.1024,14031,13881,-0.0773,0.1139
g0602259-445352,90.6081,-44.8977,12530,,0.088,0.1114
g0602366-535600,90.65235,-53.9334,10427,,0.1208,0.1177
g0602395-584333,90.66465,-58.7259,11383,11368,-0.0161,0.1118
g0602419-221854,90.67455,-22.315,14902,,0.016,0.1317
g0602460-584746,90.69165,-58.796,11023,11368,0.0197,0.1395
g0602504-523849,90.7101,-52.647,10188,9933,-0.3763,0.1326
g0602511-234128,90.7131,-23.691,11724,,-0.1072,0.1067
g0603045-264416,90.7689,-26.7376,11935,12310,-0.1765,0.1275
g0603052-325209,90.77175,-32.8691,13464,,-0.0655,0.1056
g0603219-644911,90.8412,-64.8197,13386,,0.2361,0.141
g0603268-663706,90.86175,-66.6184,10956,,0.0213,0.1106
g0603281-263335,90.867,-26.5596,12115,12310,-0.0728,0.1155
g0603321-274915,90.88395,-27.8209,12505,,-0.0687,0.1173
g0603363-263927,90.90105,-26.6576,12655,12310,-0.1635,0.1528
g0603396-264155,90.91515,-26.6986,11876,,-0.2647,0.1441
g0603411-183532,90.9213,-18.5923,14992,,0.0225,0.1406
g0603419-451819,90.92445,-45.3052,12052,12205,-0.0123,0.1093
g0603423-320943,90.9261,-32.1618,9987,,-0.0587,0.1164
g0603433-344649,90.9303,-34.7804,8577,,-0.0284,0.1172
g0603569-491726,90.98715,-49.2904,14838,,-0.2274,0.1182
g0604075-125501,91.0311,-12.9169,12682,,0.0708,0.1491
g0604095-543722,91.03965,-54.6227,9798,,0.1703,0.101
g0604149-593936,91.062,-59.66,14231,,-0.0966,0.1213
g0604190-270454,91.0794,-27.0816,12086,,0.038,0.1149
g0604241-221728,91.1004,-22.291,15294,15213,0.0391,0.1321
g0604303-191127,91.12635,-19.1909,8098,8280,0.1193,0.1153
g0604312-530550,91.12995,-53.0971,9889,,0.015,0.101
g0604376-650560,91.1568,-65.0999,10689,,-0.04,0.1019
g0604438-224555,91.18245,-22.7652,15174,,0.1264,0.1341
g0604450-732359,91.18725,-73.3998,4504,,0.17,0.1122
g0604549-541335,91.22865,-54.2263,10908,,0.0619,0.099
g0605046-263143,91.2693,-26.5287,12297,,0.1148,0.1154
g0605272-134856,91.36335,-13.8156,11036,,0.1071,0.1156
g0605355-552712,91.398,-55.4532,9679,,0.069,0.1355
g0605459-600826,91.44135,-60.1406,15821,,-0.0414,0.1071
g0605469-445340,91.44555,-44.8944,12414,12205,0.023,0.1265
g0605495-492837,91.4562,-49.4768,15949,16054,-0.2307,0.1122
g0606129-242822,91.55385,-24.4729,14517,,0.1377,0.1097
g0606156-344921,91.5651,-34.8226,11878,,0.008,0.1211
g0606233-610737,91.5969,-61.1268,8985,,-0.0454,0.1077
g0606255-450352,91.6062,-45.0644,12055,12205,0.0118,0.1173
g0606286-225738,91.6191,-22.9604,15267,,-0.0736,0.1313
g0606428-330216,91.6782,-33.0379,11939,,-0.1097,0.1023
g0606475-334852,91.69785,-33.8145,11520,,0.1048,0.0937
g0606485-450236,91.70205,-45.0433,12325,12205,-0.0338,0.1175
g0606523-752153,91.7178,-75.3647,11308,,0.2068,0.0985
g0607017-692118,91.75725,-69.3549,4480,,-0.1076,0.1098
g0607029-492916,91.7622,-49.4879,16160,16054,-0.2818,0.1157
g0607035-423614,91.76445,-42.6038,13945,,-0.0861,0.133
g0607073-451109,91.78065,-45.1857,11996,12205,-0.0439,0.1191
g0607074-445635,91.78065,-44.9431,12775,12205,0.258,0.1306
g0607103-451055,91.79295,-45.1819,11756,12205,0.2296,0.1314
g0607178-530849,91.8243,-53.147,10282,,-0.0683,0.1056
g0607202-232203,91.83405,-23.3675,11551,,0.034,0.0962
g0607205-451157,91.8354,-45.1992,12206,12205,-0.2742,0.1573
g0607253-231747,91.85535,-23.2963,11791,,-0.0873,0.1344
g0607344-283823,91.89345,-28.6398,12690,,0.1276,0.1163
g0607399-493546,91.9161,-49.5961,15711,16054,-0.1566,0.1267
g0607460-333010,91.9416,-33.5029,14939,,-0.1079,0.1581
g0607544-453827,91.97655,-45.6408,15414,,0.0446,0.1026
g0607559-114916,91.9827,-11.8211,10589,,0.0063,0.1163
g0607564-445916,91.98495,-44.9877,12536,12205,0.0094,0.104
g0607566-431850,91.98585,-43.3138,13796,,-0.1239,0.1346
g0608000-313407,92.0001,-31.5686,9363,,0.0882,0.1076
g0608098-450854,92.04075,-45.1482,12386,12205,0.1433,0.1076
g0608107-653648,92.0445,-65.6133,10840,,-0.0608,0.1151
g0608239-523044,92.0994,-52.5123,4647,,0.18,0.0928
g0608316-332059,92.1318,-33.3496,11702,,-0.039,0.1341
g0608419-493024,92.17455,-49.5067,15652,16054,-0.2565,0.1225
g0608441-481213,92.18385,-48.2036,14574,,-0.1138,0.1209
g0608510-282600,92.21265,-28.4334,12272,,-0.1339,0.1195
g0608534-613753,92.2224,-61.6313,12194,,-0.1646,0.1121
g0608585-570709,92.2437,-57.1193,9650,,-0.006,0.0999
g0609056-631316,92.2734,-63.2211,11743,,0.0813,0.0955
g0609150-510432,92.3124,-51.0757,12384,,0.0536,0.14
g0609199-660927,92.33295,-66.1575,10301,,0.0773,0.1167
g0609200-490440,92.33325,-49.0778,16043,,-0.0048,0.1737
g0609229-613103,92.34555,-61.5174,12255,,-0.0464,0.1686
g0609318-654922,92.3826,-65.8226,10661,,0.062,0.1091
g0609339-182318,92.39115,-18.3884,15390,,-0.0015,0.127
g0609457-413831,92.4405,-41.642,15538,,0.0971,0.1003
g0609466-241931,92.4441,-24.3254,11734,,0.0676,0.0967
g0609481-244125,92.4504,-24.6903,9126,,-0.0309,0.0945
g0609488-333551,92.4534,-33.5974,11374,11427,-0.1281,0.1038
g0609518-355160,92.46585,-35.8666,9874,,0.0206,0.1164
g0609518-434659,92.466,-43.7831,14158,,0.0899,0.0965
g0609552-500335,92.4801,-50.0598,15113,,0.0075,0.1352
g0610136-575719,92.5566,-57.9552,11060,,0.0188,0.1226
g0610198-700831,92.5824,-70.1421,11406,11147,-0.0721,0.1275
g0610216-623518,92.5899,-62.5882,8417,,0.0078,0.1057
g0610259-640039,92.6079,-64.0107,11323,,0.038,0.1292
g0610294-261335,92.62245,-26.2263,14733,,0.1205,0.1236
g0610318-143057,92.63265,-14.5158,10924,,-0.2124,0.1344
g0610327-623218,92.6364,-62.5384,8447,,0.171,0.0901
g0610492-334355,92.70495,-33.7319,11435,11427,-0.1594,0.1041
g0610514-335257,92.71395,-33.8824,8947,9075,0.1747,0.0905
g0610524-265809,92.71845,-26.9691,14824,,-0.0606,0.112
g0610552-095812,92.73015,-9.9701,6875,,-0.0468,0.1367
g0611000-434526,92.7501,-43.7573,14189,,-0.0579,0.1016
g0611030-434323,92.7624,-43.7231,12001,,-0.0534,0.1811
g0611058-451051,92.7741,-45.181,12150,12205,0.059,0.1047
g0611178-270351,92.8242,-27.0641,12426,,-0.0417,0.1123
g0611272-122445,92.8632,-12.4124,10685,,-0.1913,0.1253
g0611296-665514,92.8731,-66.9205,10601,11295,-0.1393,0.1072
g0611317-420422,92.88195,-42.0728,12032,,-0.0716,0.1279
g0611364-661058,92.90145,-66.1827,11382,11295,-0.0298,0.1036
g0611484-553418,92.95185,-55.5716,12562,,-0.0252,0.1062
g0611545-280947,92.9772,-28.1631,12397,,-0.0177,0.1067
g0611571-323128,92.98815,-32.5246,14914,14848,-0.02,0.1029
g0611600-771544,92.99985,-77.2622,12057,,0.1856,0.1082
g0612017-440802,93.00705,-44.1338,12241,,0.0132,0.1264
g0612048-450033,93.01995,-45.009,14010,14044,-0.1688,0.1181
g0612100-470553,93.04155,-47.098,15747,,-0.2152,0.1237
g0612181-443918,93.0756,-44.655,12181,12097,0.0072,0.1218
g0612216-280328,93.09,-28.0579,12008,,0.1974,0.1091
g0612261-443939,93.1086,-44.6608,12271,12097,0.0442,0.1015
g0612267-553156,93.11115,-55.5323,12773,,0.0805,0.1041
g0612273-473928,93.11355,-47.6577,13109,,-0.1058,0.1185
g0612295-470325,93.12285,-47.0569,15538,,0.0957,0.1194
g0612304-355852,93.1266,-35.981,11616,,-0.085,0.1053
g0612329-675305,93.13725,-67.8846,10990,10948,-0.0314,0.119
g0612330-473948,93.13755,-47.6633,13199,,0.1253,0.1433
g0612339-450431,93.1413,-45.0752,13590,14044,0.0547,0.0975
g0612406-500048,93.16935,-50.0134,10889,,0.0222,0.1143
g0612444-414735,93.1851,-41.793,12094,,0.1121,0.1061
g0612499-444845,93.20805,-44.8124,11762,12097,-0.1256,0.1431
g0613047-675401,93.2694,-67.9003,15637,,0.0093,0.1634
g0613078-452617,93.2823,-45.438,14430,14044,0.0277,0.1001
g0613089-664321,93.2871,-66.7226,10722,,0.0083,0.128
g0613179-572956,93.3246,-57.4988,16099,16075,-0.1332,0.1242
g0613207-655329,93.33615,-65.8914,11293,,0.0639,0.1049
g0613208-500043,93.3366,-50.0119,10650,,0.026,0.1241
g0613215-334059,93.33975,-33.6831,9160,,-0.0087,0.0935
g0613216-115645,93.34005,-11.9459,6730,,0.1578,0.0983
g0613275-422711,93.36435,-42.4532,11794,11789,0.0869,0.1073
g0613316-434217,93.38175,-43.7047,4749,,0.0066,0.0942
g0613350-580860,93.3957,-58.1499,9443,,-0.1357,0.13
g0613438-424740,93.43245,-42.7945,9306,9647,0.1737,0.0905
g0613441-411440,93.43395,-41.2444,11765,11880,-0.0789,0.1302
g0613441-610817,93.4338,-61.1379,16096,,0.158,0.113
g0613452-725547,93.4383,-72.9296,11584,,-0.0377,0.1704
g0613480-675515,93.45,-67.9207,10811,10948,0.1028,0.0945
g0613507-361113,93.4611,-36.1868,11588,,-0.0938,0.1214
g0614022-662414,93.50925,-66.404,10813,11295,-0.0858,0.1246
g0614086-584142,93.5358,-58.6949,9503,,0.187,0.1061
g0614087-360130,93.5364,-36.0249,14406,,-0.0429,0.1087
g0614094-745801,93.53925,-74.9669,15029,,-0.0316,0.1238
g0614101-572029,93.5421,-57.3413,15501,16075,0.1649,0.1317
g0614107-611329,93.54465,-61.2248,15976,,0.1953,0.1118
g0614122-700519,93.5508,-70.0887,11078,11147,-0.0116,0.1038
g0614140-312822,93.55815,-31.4729,14798,,-0.1088,0.114
g0614305-535629,93.62715,-53.9414,10648,,0.1157,0.1005
g0614341-575901,93.64215,-57.9836,10853,,-0.0671,0.1389
g0614371-661705,93.65445,-66.2848,13602,,0.0992,0.0968
g0614422-545939,93.6756,-54.9941,16013,,-0.0069,0.1198
g0614437-480143,93.68205,-48.0287,13681,13674,-0.0305,0.1314
g0614466-121527,93.6942,-12.2576,13927,,0.1262,0.1266
g0615030-693840,93.7623,-69.6444,11499,11147,-0.0422,0.1215
g0615110-573404,93.7959,-57.5679,16251,16075,-0.0471,0.1156
g0615147-575654,93.8112,-57.9484,15741,16075,0.0252,0.1229
g0615155-614954,93.8145,-61.8316,16006,,-0.0709,0.1128
g0615250-521451,93.85395,-52.2475,10410,10497,-0.2319,0.1777
g0615289-513726,93.87045,-51.6239,11280,10497,0.091,0.1022
g0615321-320360,93.88365,-32.0666,11411,,0.0295,0.1055
g0615550-572657,93.9792,-57.4492,15592,16075,-0.1086,0.1081
g0616067-474946,94.02765,-47.8293,13412,13674,0.1008,0.1528
g0616078-511625,94.0326,-51.2737,10502,10497,-0.0384,0.1205
g0616135-342811,94.05645,-34.4698,15609,,-0.0707,0.1287
g0616225-132716,94.0935,-13.4546,6915,6815,-0.5729,0.1808
g0616238-514537,94.09935,-51.7603,11131,10497,0.0186,0.1085
g0616337-514449,94.14015,-51.7468,9872,10497,-0.0704,0.1186
g0616366-600833,94.1526,-60.1425,12472,,-0.1542,0.1272
g0616404-433443,94.16805,-43.5786,13986,,-0.1505,0.1112
g0616417-513602,94.1736,-51.6004,10352,10497,-0.031,0.1019
g0616482-235455,94.2006,-23.9153,15881,,-0.001,0.1119
g0616488-661605,94.20345,-66.268,11115,11295,0.0524,0.1119
g0616522-341057,94.21755,-34.1825,13211,,-0.0856,0.1124
g0616547-481910,94.2279,-48.3195,13952,14583,0.0485,0.1233
g0617070-510227,94.27935,-51.0409,9963,10497,-0.1111,0.1549
g0617141-505942,94.3086,-50.995,15929,,0.2098,0.1188
g0617169-553258,94.3206,-55.5494,10229,,0.1214,0.0928
g0617414-064742,94.42245,-6.795,9762,,0.2183,0.123
g0617510-325119,94.46265,-32.8551,7397,,0.096,0.1328
g0618071-702035,94.52955,-70.3431,11740,11147,0.0123,0.1508
g0618113-485604,94.54725,-48.9344,14223,14583,0.1001,0.1008
g0618212-603107,94.58835,-60.5185,14211,,-0.0062,0.1135
g0618309-545824,94.6287,-54.9734,15207,,0.0093,0.1196
g0618393-542814,94.66365,-54.4705,4745,,-0.1042,0.1145
g0618395-502442,94.66455,-50.4116,13952,14886,0.1161,0.1002
g0619037-083813,94.76565,-8.6369,6317,,0.1343,0.0972
g0619109-274325,94.79535,-27.7237,14745,,0.0433,0.1154
g0619183-484330,94.8264,-48.7251,14944,14583,-0.225,0.1633
g0619208-100127,94.83645,-10.0242,10546,,0.0298,0.1447
g0619223-695307,94.8429,-69.8851,10602,11147,0.08,0.116
g0619239-683334,94.8495,-68.5593,11173,11501,0.0172,0.1392
g0619279-092902,94.86645,-9.4839,6318,,-0.0378,0.1172
g0619406-642520,94.91925,-64.4221,8661,,-0.128,0.1655
g0619422-501903,94.92585,-50.3176,14703,14886,0.1292,0.1104
g0619447-681455,94.93635,-68.2485,11504,11501,0.0637,0.0962
g0619479-634425,94.94955,-63.7403,7793,,-0.1821,0.1291
g0619504-652703,94.96005,-65.4508,8870,8217,0.1739,0.1013
g0619541-714310,94.9755,-71.7194,11199,,-0.056,0.1024
g0620023-691538,95.0094,-69.2605,10903,,0.0906,0.0951
g0620460-672138,95.19165,-67.3606,15763,,-0.0625,0.113
g0620464-701207,95.19315,-70.2019,10932,11147,-0.0073,0.1016
g0620521-642907,95.21715,-64.4853,7822,,-0.0536,0.1089
g0620584-500804,95.24355,-50.1345,14884,14886,-0.1426,0.1472
g0621006-723532,95.2524,-72.5922,11558,,0.0286,0.1138
g0621108-703430,95.29485,-70.5749,11231,11147,-0.0872,0.1118
g0621124-223024,95.30175,-22.5065,9502,,-0.0699,0.1323
g0621128-521701,95.30355,-52.2836,12934,,0.1289,0.1018
g0621140-650058,95.3082,-65.016,7852,8217,0.0567,0.1078
g0621187-250821,95.328,-25.1392,15947,,-0.0882,0.1315
g0621265-280641,95.3604,-28.1114,6773,,0.1026,0.0906
g0621276-645934,95.3649,-64.9928,8092,8217,0.1074,0.0961
g0621303-510235,95.3763,-51.0429,10027,,0.1694,0.1183
g0621325-582154,95.3853,-58.3649,15565,,-0.0066,0.1255
g0621337-221028,95.3904,-22.1743,11421,,0.1227,0.0958
g0621398-271401,95.4156,-27.2337,1648,,-0.046,0.1143
g0621529-512904,95.47035,-51.4845,15813,,0.0268,0.1715
g0621567-363321,95.4864,-36.556,9439,,0.199,0.0988
g0621578-474427,95.49075,-47.7409,13299,,-0.0747,0.1396
g0621582-642259,95.4924,-64.3831,7643,,-0.013,0.1337
g0622017-644742,95.50695,-64.795,7853,8217,0.2068,0.1065
g0622069-232214,95.5287,-23.3707,11422,11476,0.0392,0.0953
g0622197-641405,95.58225,-64.2346,7884,,0.1054,0.0933
g0622270-554427,95.61255,-55.7407,15629,,-0.0192,0.1113
g0622343-635554,95.643,-63.9316,13910,,0.1762,0.1251
g0622515-674913,95.7144,-67.8203,11386,,0.0774,0.127
g0622523-243812,95.718,-24.6367,16010,,0.091,0.1341
g0622592-662502,95.74665,-66.4173,15496,,0.0829,0.1138
g0623022-534408,95.7591,-53.7355,16022,15172,0.0561,0.1558
g0623166-621208,95.81925,-62.2023,12174,,-0.0875,0.1777
g0623251-660203,95.85465,-66.0343,13488,,-0.1113,0.1138
g0623257-540940,95.8572,-54.161,14762,15172,-0.1131,0.127
g0623258-331543,95.85765,-33.2619,13490,,-0.1061,0.1109
g0623263-643423,95.8596,-64.5729,13190,,-0.1965,0.1253
g0623271-370160,95.86275,-37.0332,9920,9864,-0.0391,0.0975
g0623326-513452,95.88585,-51.5812,15695,,0.0954,0.1316
g0623558-371326,95.9823,-37.2238,10191,9864,-0.0152,0.0973
g0623577-385507,95.9904,-38.9186,10160,9851,-0.0517,0.1551
g0624069-390040,96.02865,-39.011,9800,9851,-0.1141,0.1539
g0624245-371724,96.10215,-37.2901,10701,9864,0.198,0.1179
g0624251-635038,96.1044,-63.8439,12113,,-0.0605,0.1113
g0624350-620938,96.14565,-62.1604,13374,,-0.2659,0.145
g0624359-225018,96.1497,-22.8382,2851,,-0.0005,0.1062
g0624362-570045,96.1509,-57.0125,15450,15608,0.0682,0.1089
g0624381-594043,96.1587,-59.6786,11789,,0.0861,0.1145
g0624434-673813,96.1806,-67.6369,15675,,0.0156,0.1077
g0624510-632118,96.2124,-63.3549,11004,,0.0349,0.1023
g0624589-271809,96.24525,-27.3026,12235,,-0.0444,0.1036
g0625098-631903,96.29085,-63.3174,10705,,0.0073,0.103
g0625168-374804,96.31995,-37.8011,9622,,0.0923,0.0976
g0625179-644755,96.3246,-64.7985,7405,8217,-0.0639,0.1109
g0625247-564729,96.3531,-56.7914,15600,15608,0.0476,0.1261
g0625272-390402,96.36315,-39.0672,11451,,-0.0122,0.109
g0625274-553512,96.3642,-55.5867,15182,,0.0197,0.1179
g0625280-113436,96.3666,-11.5766,13433,,0.0978,0.1758
g0625295-432335,96.37275,-43.3931,12557,,0.049,0.1136
g0625473-850552,96.4473,-85.0977,12346,,-0.0373,0.1372
g0625548-734333,96.47835,-73.7259,11678,,0.2008,0.131
g0625570-652920,96.48765,-65.4888,13820,,-0.0545,0.1214
g0625586-633020,96.49425,-63.5056,12054,,-0.0693,0.1191
g0626022-371728,96.5091,-37.2912,10973,,-0.2678,0.1252
g0626034-390705,96.5142,-39.118,11391,,-0.0117,0.1212
g0626228-595207,96.5949,-59.8685,11910,,0.0937,0.1408
g0626486-555648,96.70245,-55.9466,15753,15757,0.129,0.1503
g0626597-564254,96.7488,-56.7151,15632,15608,0.1029,0.1063
g0627007-171139,96.75315,-17.1942,7471,,0.0076,0.1151
g0627213-580959,96.8385,-58.1665,9664,9767,0.0062,0.1431
g0627256-322016,96.8568,-32.3379,13525,,-0.2316,0.1157
g0627341-571302,96.8919,-57.2172,9936,,0.057,0.1086
g0627491-272327,96.95475,-27.3907,13648,,0.1051,0.1186
g0628023-581055,97.00965,-58.1819,9815,9767,0.0257,0.1381
g0628042-561256,97.01745,-56.2156,15184,15757,0.0656,0.1093
g0628062-484700,97.02585,-48.7834,15732,,-0.0932,0.1146
g0628078-672038,97.03245,-67.3438,11420,,-0.0071,0.1068
g0628124-571757,97.0515,-57.2991,9936,,0.1819,0.0998
g0628179-511330,97.07445,-51.2251,14920,,0.0567,0.1003
g0628196-741540,97.0818,-74.2611,5262,,-0.0127,0.1065
g0628372-560301,97.15485,-56.0503,15874,15757,0.0642,0.1078
g0628380-623714,97.15815,-62.6204,13256,,0.175,0.1284
g0628492-472202,97.20495,-47.3673,12706,12325,-0.0024,0.1097
g0629015-563416,97.2564,-56.571,15844,,0.0149,0.1035
g0629077-362342,97.2822,-36.395,10497,11114,-0.0521,0.1077
g0629092-133140,97.28835,-13.5277,12690,,0.0591,0.1047
g0629176-172132,97.32315,-17.3589,2888,,0.0334,0.1012
g0629208-120916,97.33665,-12.1545,10052,,-0.0767,0.1301
g0629250-391739,97.35405,-39.294,11305,,-0.0231,0.1574
g0629362-263920,97.40085,-26.6554,6875,7381,0.0618,0.1014
g0629430-662804,97.42905,-66.4677,13701,14115,0.0019,0.1183
g0629477-223721,97.44885,-22.6224,11463,,0.0151,0.1074
g0629510-575300,97.4625,-57.8834,10027,,0.0222,0.1038
g0630005-325420,97.50225,-32.9054,11160,,0.1145,0.0934
g0630271-622512,97.6128,-62.4199,13408,,-0.1183,0.1184
g0630287-683319,97.61955,-68.5554,11090,,-0.0747,0.1297
g0630367-554314,97.6527,-55.7205,15037,,-0.0755,0.1173
g0630426-741658,97.67745,-74.2827,11559,,0.0311,0.1065
g0630434-684825,97.68075,-68.8071,11179,,-0.1211,0.1684
g0630502-743549,97.70895,-74.597,12338,,-0.1246,0.169
g0630550-743553,97.72935,-74.598,11858,,-0.0411,0.1004
g0630600-640150,97.7499,-64.0305,14335,,-0.0495,0.1292
g0631021-661308,97.7589,-66.2188,11034,,0.0226,0.1052
g0631110-364914,97.7958,-36.8206,6422,,0.0159,0.096
g0631249-553730,97.85355,-55.625,4785,,-0.2823,0.165
g0631413-585643,97.9221,-58.9451,9637,,0.0968,0.1127
g0632125-283816,98.05215,-28.6378,13083,,0.2298,0.1202
g0632205-142520,98.08545,-14.4223,6309,,0.0545,0.1145
g0632312-644226,98.12985,-64.7072,7979,,0.0316,0.1005
g0632564-360208,98.23515,-36.0357,11252,,0.0653,0.0977
g0632571-451557,98.2377,-45.2658,11424,,0.12,0.1108
g0633186-625939,98.32755,-62.9943,8582,,0.0216,0.1027
g0633212-135007,98.3385,-13.8353,12726,,-0.059,0.1524
g0633415-341618,98.4231,-34.2716,7656,,0.1056,0.0974
g0633494-350646,98.45595,-35.1128,7776,,-0.3363,0.1422
g0634003-341021,98.5011,-34.1724,11374,,-0.0319,0.1108
g0634063-351257,98.52615,-35.2157,7956,,-0.1426,0.1067
g0634092-362730,98.53815,-36.4583,12962,,-0.0523,0.1062
g0634093-340912,98.5386,-34.1535,11974,,-0.1245,0.1607
g0634110-560928,98.54595,-56.1579,15369,,-0.106,0.1185
g0634159-160460,98.56635,-16.0832,11259,,-0.0449,0.1188
g0634159-551701,98.56605,-55.2837,15250,,-0.2858,0.1245
g0634176-143144,98.5734,-14.5288,12578,,0.0397,0.1087
g0634209-275305,98.58705,-27.8847,12697,,0.0286,0.142
g0634469-371108,98.6955,-37.1856,10684,10933,-0.0235,0.1094
g0634487-370423,98.70285,-37.0731,11103,10933,0.1881,0.1261
g0634505-745332,98.7105,-74.8922,11799,,0.0777,0.1061
g0634516-371711,98.715,-37.2865,10923,10933,-0.103,0.1299
g0635025-192749,98.76015,-19.4635,11260,,-0.0761,0.1181
g0635221-343436,98.8422,-34.5768,10746,,0.1169,0.1122
g0635354-551057,98.89725,-55.1826,15581,,0.043,0.1087
g0636083-154707,99.0345,-15.7853,6345,,-0.0086,0.0957
g0636156-292433,99.0651,-29.409,11440,,0.1209,0.1099
g0636218-553142,99.0909,-55.5285,15761,,-0.0348,0.113
g0636442-774816,99.18435,-77.8044,15482,,0.1329,0.1374
g0636453-350415,99.18885,-35.0708,7779,,0.1401,0.0921
g0636477-372827,99.1989,-37.4742,10236,10070,-0.062,0.1709
g0637068-335948,99.2781,-33.9967,10779,,-0.1512,0.1043
g0637179-552141,99.32445,-55.3614,15523,,0.1521,0.1035
g0637206-372043,99.3357,-37.3453,11046,,0.0416,0.1556
g0637323-171722,99.38475,-17.2894,12163,,-0.0883,0.1189
g0637343-710814,99.393,-71.1373,4103,4321,0.0608,0.1012
g0637548-513339,99.4785,-51.5609,14689,,-0.0053,0.1164
g0638125-644359,99.552,-64.733,14279,,-0.0682,0.1167
g0639243-285257,99.8511,-28.8824,13453,,0.0691,0.1032
g0639372-285821,99.9048,-28.9724,14532,,-0.0834,0.1394
g0639478-765140,99.94905,-76.861,11827,,-0.1701,0.1304
g0639483-375630,99.95115,-37.9418,10209,10070,0.0206,0.124
g0639526-611212,99.969,-61.2032,13417,,0.0922,0.1404
g0640055-344514,100.02285,-34.7537,13390,,-0.1267,0.1075
g0640110-353628,100.0458,-35.6078,10751,,-0.1167,0.1199
g0640177-192257,100.07385,-19.3825,11478,,0.1583,0.11
g0640195-183555,100.08135,-18.5987,11358,,-0.0764,0.1023
g0640297-272854,100.1238,-27.4816,12285,,-0.0015,0.1106
g0640353-365124,100.14705,-36.8568,9552,,0.0168,0.1057
g0640396-182811,100.1649,-18.4696,12018,,0.0248,0.1094
g0640412-173908,100.17165,-17.6521,11868,,0.0016,0.1138
g0640478-172400,100.19925,-17.4001,11868,,0.1456,0.1308
g0640480-215239,100.2,-21.8774,7910,,-0.144,0.1013
g0641056-284321,100.27335,-28.7226,13964,,0.0243,0.1542
g0641148-341332,100.31145,-34.2255,10814,,-0.0206,0.1039
g0641214-512446,100.33905,-51.4128,11185,,0.1786,0.0959
g0641247-292943,100.3527,-29.4952,13964,,-0.1106,0.1092
g0641386-601544,100.4109,-60.2622,9013,9075,0.0218,0.0991
g0641470-544352,100.4457,-54.731,10191,,0.0936,0.1274
g0642105-354958,100.54395,-35.8329,10993,,-0.2061,0.1681
g0642141-523236,100.5588,-52.5432,11154,,-0.0116,0.1203
g0642142-750724,100.55925,-75.1234,11682,,-0.143,0.1299
g0642284-312919,100.61835,-31.4886,13515,,0.2366,0.1051
g0642421-665838,100.6752,-66.9771,14517,,0.0062,0.1036
g0642423-643527,100.6764,-64.5909,8676,,0.1571,0.1042
g0643255-741526,100.85625,-74.2571,6438,6547,0.0046,0.0989
g0643445-271559,100.9353,-27.2665,7103,,0.1415,0.0952
g0643589-294749,100.99545,-29.797,13668,,0.0979,0.125
g0643592-290534,100.9965,-29.0926,12619,,0.1303,0.1117
g0644061-750454,101.0253,-75.0816,6556,,-0.0011,0.1014
g0644072-431017,101.0298,-43.1715,9939,,0.1049,0.1185
g0644197-365351,101.08215,-36.8974,9316,9639,0.0122,0.1084
g0644225-260632,101.09385,-26.1088,2578,2351,-0.0343,0.1035
g0645173-301552,101.32215,-30.2644,13579,,0.066,0.1153
g0645200-690823,101.3334,-69.1397,14094,,0.0692,0.1312
