curve,z,H0
exponential_method3,0.06133422792812039,74.83947385781062
exponential_method3,0.08665187104184993,73.60722908783879
exponential_method3,0.09823715265765794,73.17229930109224
exponential_method3,0.11130032321694187,72.75207703593844
exponential_method3,0.12294608824487718,72.42726361650897
exponential_method3,0.13756162542791045,72.07382478242329
exponential_method3,0.15077705567144267,71.79528469918577
exponential_method3,0.16850333900230277,71.47175787729003
exponential_method3,0.18188295243263244,71.25814495385771
exponential_method3,0.20135119774730664,70.98500618744816
exponential_method3,0.22403791902480774,70.71252360418708
exponential_method3,0.24775279046471727,70.46879896065006
exponential_method3,0.2717628050441218,70.25577779845823
exponential_method3,0.2952966945250389,70.07345275510781
exponential_method3,0.320742486011057,69.9001927945237
exponential_method3,0.34412352902431687,69.75923581922873
exponential_method3,0.37277153831742293,69.6056521499689
exponential_method3,0.39269906821773437,69.51017336045877
exponential_method3,0.4307165717865798,69.34758350846275
exponential_method3,0.48105246612894803,69.16511857754071
exponential_method3,0.5717220383103984,68.90722847675097
exponential_method3,0.6462364797592057,68.74246116426511
exponential_method3,0.760892392845722,68.54601667931054
exponential_method3,0.8993993598435055,68.37025714869665
exponential_method3,1.1511843133226431,68.15438853817193
exponential_method3,1.2067030332246411,68.11891967626187
exponential_method3,1.266916038243804,68.08360358630503
exponential_method3,1.4170704605156252,68.00761150364708
exponential_method3,1.4819177496108742,67.97958981429998
exponential_method3,1.5342457604870132,67.95831585965772
exponential_method3,1.5881519503875796,67.93845550573921
exponential_method3,1.681122032702044,67.9064783112419
exponential_method3,1.7414929664195984,67.88736709208194
exponential_method3,1.8154542707707817,67.86573605600685
exponential_method3,1.8744868284038663,67.84931399134877
exponential_method3,1.938376706963307,67.83338889569511
exponential_method3,2.131491997326591,67.7893353543897
exponential_method3,2.2039081178278277,67.77476311880372
exponential_method3,2.3198967479453745,67.75315969211776
exponential_method3,2.3967161664801275,67.74003602914844
exponential_method3,2.542755375360896,67.71727668937066
exponential_method3,2.848536376223306,67.67611845267265
exponential_method3,2.952822760801979,67.66438998416767
exponential_method3,3.078200469190788,67.65069204590432
exponential_method3,3.1859946031922344,67.64049129693154
exponential_method3,3.3716672520017834,67.62356121951335
exponential_method3,3.534686940139584,67.61027374083515
exponential_method3,3.639839744449011,67.60257808376997
exponential_method3,3.9500679571027786,67.58163912304923
exponential_method3,4.072265173475793,67.57463738196434
exponential_method3,5.333480568319887,67.51989716643735
exponential_method3,5.694315406580083,67.50904851713284
exponential_method3,5.929442384097008,67.50292291399653
exponential_method3,8.191024334069493,67.46264449649898
gaussian_method3,0.08882519580246304,73.64099629106511
gaussian_method3,0.08955078656320793,72.82480384817457
gaussian_method3,0.10189996056260035,73.18722125560728
gaussian_method3,0.10262717984654561,72.32956779305121
gaussian_method3,0.11427825524792287,72.81847209493272
gaussian_method3,0.11427825524792287,71.94950062345681
gaussian_method3,0.12596433076052527,71.61542977585005
gaussian_method3,0.1274279891816432,72.47879009914053
gaussian_method3,0.13989436893205853,71.26657686129985
gaussian_method3,0.142099127680346,72.14909626002478
gaussian_method3,0.1524124107632424,70.99064402470974
gaussian_method3,0.16128391313978857,71.7804879072348
gaussian_method3,0.17018585541465692,70.64848270577315
gaussian_method3,0.18285105943313143,71.43084168290343
gaussian_method3,0.18285105943313143,70.4339246209194
gaussian_method3,0.2031093273055543,70.13137725351515
gaussian_method3,0.20537203954903904,71.12101371958403
gaussian_method3,0.2258393394966873,69.84051049834137
gaussian_method3,0.228889252391907,70.84364795569775
gaussian_method3,0.2488202274356378,69.58765819075599
gaussian_method3,0.2511333432259163,70.61540665758821
gaussian_method3,0.2720698458363876,69.3656879052322
gaussian_method3,0.2751916748892933,70.39829378392642
gaussian_method3,0.29639552014931786,69.16308836712625
