CID,zCMB,vrot,e_vrot,pgc,galaxy_name,match_sep_arcsec,source
2002dj,0.01051,73.95,,45908,NGC5018,11.808933789868625,HYPERLEDA_QUERY
1998es,0.00957,148.43,9.27,6007,NGC0632,12.537709120503331,HYPERLEDA_QUERY
PTF10icb,0.009,,,43983,PGC043983,8.731529932733675,HYPERLEDA_QUERY
2009Y,0.0105,224.38,7.97,52521,NGC5728,22.422572499308078,HYPERLEDA_QUERY
2013E,0.01042,53.38,2.65,28915,IC2532,19.680243922269554,HYPERLEDA_QUERY
1999ac,0.00979,143.58,4.37,57205,NGC6063,37.20468959956423,HYPERLEDA_QUERY
2009an,0.00921,178.59,9.55,40133,NGC4332,27.792525131110946,HYPERLEDA_QUERY
2006bh,0.01042,250.91,4.09,69453,NGC7329,123.57262451685823,HYPERLEDA_QUERY
2004S,0.0098,32.94,,19558,ESO427-006,48.84735053793241,HYPERLEDA_QUERY
2021hpr,0.00958,334.65,13.18,30019,NGC3147,225.5595676927323,HYPERLEDA_QUERY
2002dp,0.01049,200.76,4.56,71534,NGC7678,47.8915444660135,HYPERLEDA_QUERY
1997do,0.01048,121.28,6.55,21020,UGC03845,4.031851111503211,HYPERLEDA_QUERY
1997bq,0.00993,334.65,13.18,30019,NGC3147,184.29078684757974,HYPERLEDA_QUERY
2008fv_comb,0.00993,334.65,13.18,30019,NGC3147,64.71979776329107,HYPERLEDA_QUERY
ASASSN-16jf,0.0104,25.29,0.9,69323,ESO534-004,56.515436493644195,HYPERLEDA_QUERY
iPTF13ebh,0.01238,,,8997,NGC0890,22.105874643961787,HYPERLEDA_QUERY
2010ko,0.01096,235.08,4.95,17422,NGC1954,121.06892783355761,HYPERLEDA_QUERY
2013ex,0.01096,235.08,4.95,17422,NGC1954,66.14072556275269,HYPERLEDA_QUERY
2009ab,0.01189,100.84,4.01,14779,UGC02998,36.25752592559543,HYPERLEDA_QUERY
2011ao,0.01168,102.38,2.1,37308,IC2973,8.32098132105471,HYPERLEDA_QUERY
2001cz,0.01275,196.68,2.21,43170,NGC4679,32.962432009808055,HYPERLEDA_QUERY
2009kk,0.01244,,,145795,PGC145795,22.54012844805479,HYPERLEDA_QUERY
2010Y,0.01142,,,32512,NGC3392,14.228822749457988,HYPERLEDA_QUERY
2008R,0.0126,,,11545,NGC1200,14.605014812240913,HYPERLEDA_QUERY
2002ha,0.0122,318.81,11.68,65375,NGC6962,30.58103520174725,HYPERLEDA_QUERY
2009kq,0.01247,34.07,1.34,24178,PGC024178,25.187895013787585,HYPERLEDA_QUERY
2001bt,0.01407,291.02,5.26,62934,IC4830,31.25663048008184,HYPERLEDA_QUERY
2001ep,0.01306,,,16390,NGC1699,18.541654279949192,HYPERLEDA_QUERY
2013gy,0.01309,118.14,5.64,13606,NGC1418,33.80195334571052,HYPERLEDA_QUERY
AT2017cfd,0.01222,134.45,14.36,24397,IC0511,22.430638364470834,HYPERLEDA_QUERY
2017cfd,0.01222,134.45,14.36,24397,IC0511,22.430638364470834,HYPERLEDA_QUERY
1999dq,0.01334,405.03,15.91,9776,NGC0976,7.732288675822726,HYPERLEDA_QUERY
2007hj,0.01288,,,70290,NGC7461,16.943772199805498,HYPERLEDA_QUERY
2008hv,0.0136,,,25646,NGC2765,38.57358057333268,HYPERLEDA_QUERY
