galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0013478-042830,3.4491,-4.4751,10652,35.30684949817781,0.48749998211860657,6dFGSv,FP
g0013531-124645,3.471,-12.7793,11206,35.32644677565763,0.5205000042915344,6dFGSv,FP
g0014186-065901,3.57735,-6.9836,8227,35.21790107056076,0.6330000162124634,6dFGSv,FP
g0014219-835443,3.5913,-83.9119,15656,36.61259765900386,0.6389999985694885,6dFGSv,FP
g0014428-601942,3.67845,-60.3284,4450,34.105993749955935,0.531499981880188,6dFGSv,FP
g0014446-072042,3.68565,-7.3451,5140,33.770009230341564,0.4699999690055847,6dFGSv,FP
g0015120-432824,3.8001,-43.4733,15873,37.058488825883664,0.5805000066757202,6dFGSv,FP
g0015165-571441,3.81855,-57.2448,9649,34.937105145895295,0.48250001668930054,6dFGSv,FP
g0015191-614441,3.82935,-61.7446,8746,35.82874104773728,0.5195000171661377,6dFGSv,FP
g0015341-030338,3.89205,-3.0606,6454,35.81183838694505,0.7949999570846558,6dFGSv,FP
g0015440-330150,3.9333,-33.0306,7193,34.29174399079119,0.4805000126361847,6dFGSv,FP
g0015465-591341,3.9438,-59.2281,9121,35.146405902794136,0.4650000035762787,6dFGSv,FP
g0016457-415843,4.19025,-41.9785,15776,36.192178217718876,0.5389999747276306,6dFGSv,FP
g0016458-082350,4.19055,-8.3973,10419,36.49432395847309,0.6665000319480896,6dFGSv,FP
g0017029-094047,4.2621,-9.6797,6344,34.54800952236526,0.546999990940094,6dFGSv,FP
g0017036-433727,4.26495,-43.6242,10927,35.403698460269794,0.5419999957084656,6dFGSv,FP
g0017054-132914,4.2726,-13.4871,6082,33.95792571504348,0.49150002002716064,6dFGSv,FP
g0017063-043637,4.2762,-4.6103,5767,34.093943347856495,0.4580000042915344,6dFGSv,FP
g0017071-343100,4.27965,-34.5168,15114,35.45509065954857,0.4715000092983246,6dFGSv,FP
g0017075-593940,4.28115,-59.6611,8734,36.00425953142736,0.5254999995231628,6dFGSv,FP
g0017097-034249,4.29045,-3.7137,10653,35.199553324195655,0.46700000762939453,6dFGSv,FP
g0017231-625104,4.3461,-62.8512,14659,36.04171546909451,0.6315000057220459,6dFGSv,FP
g0017267-093158,4.3611,-9.5327,6404,34.940950388129345,0.5579999685287476,6dFGSv,FP
