CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
PS16bnz,155.154,-2.4668,0.06398,11.2932,0,315.7402842877433,tully-fisher,49845.96356105247,4.7007491400974745e-07
2007ae,255.467,79.0318,0.06485,10.8837,0,249.43362346819114,tully-fisher,31108.56625823567,2.615932524169671e-07
PS15cms,149.646,0.743,0.06603,10.4286,0,191.94641079722433,tully-fisher,18421.712308968396,1.2043296483900406e-07
6057,52.5536,-0.9746,0.06652,9.52798,0,114.29441146375838,tully-fisher,6531.606245923451,-1.1862306936300226e-08
SN2016ixf,159.936,15.0347,0.06723,9.99601,0,149.63476146667952,tully-fisher,11195.280919595038,4.00280719344651e-08
AT2016aj,70.6025,-21.7244,0.06731,10.7026,0,224.73980290949552,tully-fisher,25253.989505899444,1.96452300900396e-07
PS15bjg,343.793,-0.4102,0.06758,11.2378,0,305.8299372840999,tully-fisher,46765.97526959824,4.358054225584371e-07
CSS160129,115.123,10.9333,0.06841,8.86459,0,78.01488913464296,tully-fisher,3043.1614633453155,-5.067648976505538e-08
2006al,159.868,5.1834,0.06908,10.5011,0,200.1266822841834,tully-fisher,20025.344481037242,1.3827577910042196e-07
PTSS17-niq,215.069,15.3417,0.0691,10.6052,0,212.4858407742253,tully-fisher,22575.116264764707,1.6664581628130493e-07
1993B,158.717,-34.4417,0.07076,9.39781,0,106.04311965949347,tully-fisher,5622.571613558825,-2.1976681282852038e-08
2008Y,169.877,54.4628,0.07028,10.544,0,205.13038525028156,tully-fisher,21039.237476464463,1.4955686008236664e-07
PS17yt,150.992,49.0412,0.07046,9.95752,0,146.3558194451335,tully-fisher,10710.012942728259,3.4628737517846626e-08
PS16em,163.892,-3.3663,0.07113,10.0881,0,157.7811058728559,tully-fisher,12447.438685230682,5.396020601568983e-08
2006on,328.994,-1.0702,0.07068,10.2479,0,172.9836257305779,tully-fisher,14961.667385448323,8.193477305797759e-08
470043,128.994,44.7675,0.07061,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
ATLAS16bwu,18.5927,-13.1531,0.07074,9.63137,0,121.30326644266702,tully-fisher,7357.241224830334,-2.6758788806945034e-09
PS15bdr,253.706,36.7252,0.07094,10.5352,0,204.09388638843978,tully-fisher,20827.157230568682,1.4719714910752859e-07
PS15bwh,352.644,-18.8915,0.07149,10.6434,0,217.21009005881888,tully-fisher,23590.111611680102,1.779391625777007e-07
370566,159.985,58.4149,0.07134,9.18771,0,93.96313444851434,tully-fisher,4414.535317694791,-3.541789780593127e-08
PS15mt,148.684,23.1981,0.07193,8.92458,0,80.7560365016306,tully-fisher,3260.768715726347,-4.8255282549461096e-08
2007jd,44.9724,1.1607,0.07196,9.75914,0,130.56145932079755,tully-fisher,8523.147329988136,1.0296576051876341e-08
PS15atx,195.827,-23.0658,0.07301,10.2531,0,173.50220386236435,tully-fisher,15051.507372548718,8.29343777248087e-08
Gaia16aki,239.794,14.6416,0.07398,9.48062,0,111.22053905845972,tully-fisher,6185.00415422718,-1.5718775303841797e-08
1992ae,322.075,-61.5504,0.07478,10.1995,0,168.23060070090756,tully-fisher,14150.767506094096,7.291229509580405e-08
PS17bii,171.409,7.3336,0.07467,10.167,0,165.11251614904356,tully-fisher,13631.071494534084,6.712989713187316e-08
7876,19.1825,0.7946,0.0749,9.78646,0,132.6309852095431,tully-fisher,8795.48911882702,1.3326787118049601e-08
2005ir,19.1825,0.7946,0.0749,9.78987,0,132.89158939817779,tully-fisher,8830.087266386938,1.3711743426268546e-08
2010hs,36.4131,24.7649,0.07514,10.4575,0,195.16637500304807,tully-fisher,19044.95696591519,1.2736749686387374e-07
AT2016gsu,17.1024,21.1516,0.07529,9.75909,0,130.5577015140026,tully-fisher,8522.656712309696,1.0291117194002162e-08
370333,164.38,57.2977,0.07557,7.99137,0,47.19244688146723,tully-fisher,1113.563521330053,-7.214616234849767e-08
PS15bif,305.074,-23.7435,0.07855,9.58141,0,117.86435818919705,tully-fisher,6946.003465675671,-7.251516038442515e-09
Gaia16acv,179.957,54.8022,0.07833,8.87001,0,78.25867591722542,tully-fisher,3062.210178158658,-5.046454422900723e-08
17186,31.6128,-0.8995,0.07849,10.1643,0,164.85609018265666,tully-fisher,13588.76523515611,6.665917651318994e-08
2007hx,31.6128,-0.8995,0.07849,10.2646,0,174.65458681851698,tully-fisher,15252.11234837344,8.516640910076882e-08
560033,353.599,-0.6831,0.07869,9.07144,0,87.87998935946689,tully-fisher,3861.4462649100064,-4.157184346176761e-08
12779,309.472,1.2211,0.07891,10.332,0,181.56410603563722,tully-fisher,16482.762300260056,9.885923648025907e-08
PS15bzz,9.4247,1.7628,0.07901,10.4626,0,195.74018554807623,tully-fisher,19157.110119197656,1.28615368986737e-07
350316,131.469,43.8188,0.07966,8.61131,0,67.43067322311963,tully-fisher,2273.4478456615707,-5.924070876366591e-08
2005ag,224.182,9.3285,0.08024,10.69,0,223.1156302701704,tully-fisher,24890.292235427693,1.9240562301662656e-07
12950,351.667,-0.8403,0.08141,9.42557,0,107.75129432208479,tully-fisher,5805.17071404227,-1.9944992288969583e-08
130308,213.238,52.7437,0.08221,10.1141,0,160.16034500655726,tully-fisher,12825.668056309723,5.816857532501204e-08
12898,26.7931,-0.147,0.08255,9.35181,0,103.2719780921302,tully-fisher,5332.55072953071,-2.5203598811558065e-08
12781,5.4066,-1.01,0.08282,10.4457,0,193.84517509355635,tully-fisher,18787.975953525754,1.2450819748547555e-07
SN2016glp,354.058,23.696,0.08366,10.5245,0,202.84065097866284,tully-fisher,20572.164844723855,1.4435997618349364e-07
3592,19.0524,0.7919,0.08544,10.1853,0,166.86105904422507,tully-fisher,13921.306512680181,7.035919722396294e-08
SN2016grz,28.8874,33.8229,0.08656,8.99392,0,84.04463504786565,tully-fisher,3531.7503401644635,-4.5240205353255384e-08
1241,337.672,-0.7766,0.08848,9.91509,0,142.82442873709482,tully-fisher,10199.40872203874,2.894749937013254e-08
590194,130.237,44.5243,0.09015,9.75408,0,130.18171711966636,tully-fisher,8473.639736112415,9.745729780867326e-09
370066,130.349,43.0544,0.09066,9.12019,0,90.38107356476877,tully-fisher,4084.3692293600716,-3.909149097285757e-08
300105,351.71,-0.7301,0.09181,9.04492,0,86.54858973526993,tully-fisher,3745.329192582035,-4.2863820132112604e-08
iPTF17dz,126.107,24.9978,0.09284,8.80725,0,75.48184301813362,tully-fisher,2848.754312707083,-5.283956103560392e-08
010010,150.859,1.0294,0.09968,9.50285,0,112.65293099962807,tully-fisher,6345.341431403482,-1.3934782499464831e-08
160099,214.667,54.1831,0.10142,9.5937,0,118.7011689024965,tully-fisher,7044.983749409502,-6.1502118559960116e-09
000190,148.988,2.2635,0.10237,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
140181,183.738,46.845,0.10231,9.67327,0,124.26461987755977,tully-fisher,7720.847876657209,1.3697907346719012e-09
100405,53.6285,-27.3206,0.10298,10.3204,0,180.35575118683101,tully-fisher,16264.098493083047,9.64262735071351e-08
13135,4.1723,-0.4245,0.10338,10.8558,0,245.4595850257963,tully-fisher,30125.203940518055,2.506518710376719e-07
20064,358.586,-0.9176,0.10351,10.7045,0,224.98574157696348,tully-fisher,25309.291956468092,1.9706762364764707e-07
13038,347.827,0.5046,0.10485,8.87462,0,78.46662906366818,tully-fisher,3078.5059383076473,-5.028322944457514e-08
18697,11.2239,-0.9971,0.10638,9.67706,0,124.53602387446993,tully-fisher,7754.610621231272,1.74545193110045e-09
20625,5.6834,-0.479,0.10684,10.0166,0,151.41886819795783,tully-fisher,11463.836823175263,4.301615934618578e-08
3256,329.268,-0.2235,0.10694,9.894,0,141.10096881013058,tully-fisher,9954.74169957872,2.6225211607586427e-08
120225,150.818,3.4749,0.10728,11.4183,0,339.3165132784558,tully-fisher,57567.84809172422,5.559924665686624e-07
21034,28.1414,1.2441,0.10751,10.0033,0,150.26401735765407,tully-fisher,11289.63745623068,4.107792999223182e-08
500038,150.193,2.5513,0.1081,9.73659,0,128.877616543502,tully-fisher,8304.720022966969,7.866244497868912e-09
7147,350.018,-0.0554,0.10886,10.039,0,153.38397753912088,tully-fisher,11763.322282860767,4.634838448124898e-08
020027,186.336,46.0152,0.10988,10.0054,0,150.44577493034294,tully-fisher,11316.9655971957,4.1381996567997535e-08
18650,328.447,0.0151,0.11243,8.53633,0,64.58214950538411,tully-fisher,2085.4270173678924,-6.133272261506799e-08
18612,12.2879,0.597,0.11365,10.2452,0,172.71497563407624,tully-fisher,14915.231404139775,8.141810308591898e-08
8719,7.7215,-0.7188,0.11628,8.80164,0,75.23847696827538,tully-fisher,2830.414208252852,-5.304362221809421e-08
5395,49.6409,0.1233,0.11635,8.49999,0,63.24518913374547,tully-fisher,1999.9769742816177,-6.228348256736526e-08
2561,46.3434,0.8584,0.11741,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
16259,352.03,0.8564,0.11771,10.994,0,265.7847114253312,tully-fisher,35320.756413723284,3.0846018854308506e-07
1371,349.374,0.4294,0.11797,10.5372,0,204.32899347117143,tully-fisher,20875.168786471004,1.4773134971118796e-07
000137,161.159,57.8111,0.11878,10.2136,0,169.60161977793834,tully-fisher,14382.354715650179,7.548905031274282e-08
5549,3.2505,0.2482,0.11992,8.5812,0,66.27198755581745,tully-fisher,2195.9881672992105,-6.010256391838366e-08
12860,323.694,1.1759,0.12042,10.1701,0,165.40742305620242,tully-fisher,13679.807801046762,6.767216167360494e-08
490008,131.449,44.4206,0.12067,8.89488,0,79.38711062926566,tully-fisher,3151.156667031632,-4.947488107070437e-08
19953,332.931,0.5791,0.1219,9.37542,0,104.68512975096161,tully-fisher,5479.488195487833,-2.356869901422237e-08
390259,242.396,53.8672,0.12208,9.15024,0,91.95810130981575,tully-fisher,4228.146198253166,-3.749175644787636e-08
18835,53.6851,0.3555,0.12262,10.1221,0,160.89961157002287,tully-fisher,12944.342501692117,5.9489006608080565e-08
2916,315.922,0.5696,0.12303,9.77924,0,132.0808927356422,tully-fisher,8722.68111292211,1.25166887995371e-08
16021,13.8437,-0.3888,0.12336,9.49127,0,111.90448571511786,tully-fisher,6261.306961582507,-1.4869792075032268e-08
13894,1.6906,-0.0368,0.12356,8.72392,0,71.94655369361608,tully-fisher,2588.1532941941905,-5.573913841416392e-08
570062,353.102,0.2956,0.12363,9.98879,0,149.0141451304084,tully-fisher,11102.607724473206,3.899694357699536e-08
6406,46.0886,-1.063,0.12377,10.0062,0,150.51507372548718,tully-fisher,11327.39370929442,4.149802496310928e-08
19543,357.908,0.2798,0.12384,8.61533,0,67.58689509705845,tully-fisher,2283.994194430391,-5.912336480817802e-08
13044,332.543,0.5033,0.12455,10.0637,0,155.58044009771606,tully-fisher,12102.636670499507,5.0123766205509414e-08
15459,340.701,-0.9018,0.12542,8.73681,0,72.48238842091564,tully-fisher,2626.8483156002426,-5.530859823679953e-08
2992,55.497,-0.7827,0.12608,9.72723,0,128.18508498783478,tully-fisher,8215.70800666921,6.875852248637448e-09
16069,341.246,-1.0066,0.12688,10.179,0,166.25702143427694,tully-fisher,13820.69858809881,6.923978309471394e-08
744,329.198,0.3175,0.12694,9.90923,0,142.34345261669927,tully-fisher,10130.829251421254,2.8184449851865813e-08
14871,54.2771,0.0094,0.12705,9.14823,0,91.85176281109537,tully-fisher,4218.373165752861,-3.760049609946915e-08
18855,48.6323,0.2698,0.12716,9.82915,0,135.93068193426294,tully-fisher,9238.575145556877,1.8256784042825116e-08
22075,29.9631,1.2165,0.129,10.7935,0,236.8127034143652,tully-fisher,28040.128249210047,2.27452275189573e-07
1032,46.7957,1.1196,0.12904,10.2777,0,175.97662962591548,tully-fisher,15483.887087248313,8.774525086277822e-08
5751,11.6342,0.8382,0.12929,10.1354,0,162.13620203854418,tully-fisher,13144.07400574181,6.17113192998462e-08
18415,337.478,1.0586,0.1294,10.6005,0,211.9117293573185,tully-fisher,22453.2905196047,1.6529032205949437e-07
18809,50.8813,0.6666,0.13153,10.6395,0,216.72299593401073,tully-fisher,23484.428483306616,1.7676327919061387e-07
151034,185.137,46.6661,0.13269,10.6436,0,217.23509873417711,tully-fisher,23595.544061023837,1.7799960672836885e-07
1334084,41.734,-0.6906,0.13349,9.74734,0,129.67760938386513,tully-fisher,8408.141187757152,9.016960145878187e-09
15508,27.169,-0.5766,0.13353,9.13587,0,91.20055803091009,tully-fisher,4158.770892574698,-3.82636608253952e-08
14108,53.5946,-1.1232,0.13463,10.2314,0,171.34837719173674,tully-fisher,14680.133183120843,7.880228259797077e-08
15234,16.9583,0.8282,0.13514,9.98362,0,148.57132470337632,tully-fisher,11036.719262058037,3.826383556300012e-08
000014,35.878,-4.6363,0.13599,9.80415,0,133.98849088013935,tully-fisher,8976.45784416859,1.5340335742002104e-08
17629,30.6364,-1.0892,0.1364,10.6342,0,216.0627978933834,tully-fisher,23341.56631675851,1.7517372321443698e-07
19775,318.956,0.6513,0.13687,10.0494,0,154.304998853692,tully-fisher,11905.016335618944,4.792494343868748e-08
18602,338.984,0.6092,0.13696,8.85232,0,77.46579739733804,tully-fisher,3000.4748832027117,-5.115144202293944e-08
21062,333.432,0.3963,0.13729,8.95999,0,82.41902937602941,tully-fisher,3396.4482016433994,-4.674564467335175e-08
17366,315.787,-1.0292,0.13811,10.2891,0,177.13525043338686,tully-fisher,15688.448473049337,9.002130323655736e-08
15171,304.793,-1.0645,0.13818,9.85121,0,137.66783912830255,tully-fisher,9476.216965128093,2.0900905881491087e-08
190340,334.134,0.4733,0.13824,10.0088,0,150.74051533768522,tully-fisher,11361.351482135457,4.1875856141659634e-08
20084,347.975,-0.5781,0.13834,9.92013,0,143.23940082105526,tully-fisher,10258.762973787461,2.9607904485484906e-08
12928,305.009,-0.9757,0.13868,10.3657,0,185.1207050503734,tully-fisher,17134.837719173673,1.061145539943133e-07
190230,333.937,0.4225,0.13864,10.1494,0,163.44814484925053,tully-fisher,13357.648027330788,6.408765077077194e-08
090275,54.0721,-28.0515,0.13959,10.184,0,166.73623692392678,tully-fisher,13900.486351775922,7.012754169199125e-08
1794,317.837,-0.4453,0.1407,11.0328,0,271.7878234201603,tully-fisher,36934.310479734115,3.2641339876301e-07
17208,1.4916,1.1031,0.14084,11.5,0,355.6558820077846,tully-fisher,63245.55320336759,6.191654556759216e-07
340229,35.879,-2.8604,0.14108,9.69378,0,125.74044577105784,tully-fisher,7905.329851352168,3.422429529524183e-09
1317666,36.7711,-5.0031,0.1412,9.68561,0,125.15047309284893,tully-fisher,7831.320457681951,2.598963969367571e-09
2635,52.7043,-1.2381,0.14311,9.59628,0,118.87759098284133,tully-fisher,7065.940818941857,-5.917033010097063e-09
17568,313.103,0.2777,0.14335,9.24061,0,96.868482353793,tully-fisher,4691.751436763551,-3.2333452501723046e-08
190260,333.967,-0.8252,0.14344,10.2639,0,174.58422351259475,tully-fisher,15239.825549747817,8.502970002897362e-08
17497,37.1366,-1.0421,0.14388,10.0189,0,151.61947749715657,tully-fisher,11494.23297825538,4.3354362182722856e-08
8921,325.002,-0.0079,0.1441,9.52063,0,113.81185336801653,tully-fisher,6476.568983531446,-1.2474679067155245e-08
17605,309.203,0.0984,0.14533,10.2332,0,171.5260141048316,tully-fisher,14710.586757345445,7.914112430865114e-08
1296657,36.2552,-6.2786,0.14624,9.33695,0,102.39234648414444,tully-fisher,5242.0963092645425,-2.6210039969352552e-08
440008,52.6735,-28.8632,0.14656,9.32684,0,101.79817581199673,tully-fisher,5181.434299325097,-2.6884995856947048e-08
1316385,53.526,-27.6321,0.14741,9.63951,0,121.8729982881077,tully-fisher,7426.513855866549,-1.905116912640241e-09
13796,350.692,0.5329,0.14729,9.66952,0,123.99666245292846,tully-fisher,7687.586149732737,9.997041114023622e-10
14024,318.199,0.9163,0.14759,10.7329,0,228.69411849684477,tully-fisher,26150.499917524437,2.06427324497868e-07
180166,242.843,55.0642,0.14757,10.0333,0,152.8815212997759,tully-fisher,11686.379777466913,4.5492283651855204e-08
1293758,8.4839,-43.3497,0.14812,11.0622,0,276.4267041487606,tully-fisher,38205.861383273215,3.4056131060398813e-07
14437,332.081,-1.1964,0.14792,9.91097,0,142.48609873545323,tully-fisher,10151.144166424661,2.8410483765038473e-08
1255502,33.9046,-4.2092,0.14819,10.1485,0,163.36348729699947,tully-fisher,13343.81449091845,6.393373192012587e-08
13736,336.833,1.031,0.14882,9.07749,0,88.18657904301563,tully-fisher,3888.436361655021,-4.127153813520528e-08
2308,34.2729,0.2803,0.14923,10.3812,0,186.77983854828605,tully-fisher,17443.354044061904,1.0954726105611677e-07
000038,35.0957,-4.6725,0.15036,9.126,0,90.68385955580277,tully-fisher,4111.781191968279,-3.878649175553195e-08
460003,128.835,43.8555,0.15067,10.8761,0,248.34475698040532,tully-fisher,30837.559159828288,2.585778917846281e-07
2031,312.043,-1.1714,0.15186,9.204,0,94.84839705204897,tully-fisher,4498.109211671565,-3.44880128277525e-08
18323,3.4286,0.6522,0.15272,9.359,0,103.70029591210577,tully-fisher,5376.8756861291495,-2.4710417157119786e-08
15132,329.7,0.1977,0.15304,11.224,0,303.41007349186737,tully-fisher,46028.836348170174,4.276036459359747e-07
18740,16.8553,1.0437,0.15317,10.663,0,219.67467657397398,tully-fisher,24128.481763940035,1.839293383785968e-07
19353,43.1144,0.2518,0.15325,11.004,0,267.3191033092884,tully-fisher,35729.75149704099,3.1301087256687607e-07
16073,8.1078,-1.054,0.15339,9.751,0,129.95111066106867,tully-fisher,8443.645581022656,9.41199979744832e-09
5550,3.5983,0.3331,0.15493,9.564,0,116.68902085474895,tully-fisher,6808.163794020015,-8.785189222383289e-09
16116,355.302,-1.1058,0.15509,9.52,0,113.77058616876825,tully-fisher,6471.8731385925585,-1.2526927388499968e-08
18030,4.933,-0.4001,0.15518,9.658,0,123.1771058230679,tully-fisher,7586.299699473635,-1.2725963418025588e-10
19940,315.393,-0.2685,0.15591,9.91499,0,142.81620733871486,tully-fisher,10198.234539307394,2.8934434825314055e-08
13354,27.5648,-0.8873,0.15654,10.472,0,196.8022211522267,tully-fisher,19365.557125224972,1.3093465471614202e-07
16206,5.7882,-0.0536,0.15838,10.927,0,255.7290090020941,tully-fisher,32698.663022596564,2.792854649569354e-07
440042,35.9021,-3.294,0.15906,9.028,0,85.70970407948792,tully-fisher,3673.0766866966937,-4.3667737679345997e-08
14782,314.234,-0.279,0.15922,11.427,0,341.0201143301801,tully-fisher,58147.35918888454,5.624403971160536e-07
15425,55.5611,0.4783,0.15935,10.526,0,203.01587331453823,tully-fisher,20607.722408832313,1.447556074404777e-07
1299775,53.4389,-29.6767,0.16009,10.783,0,235.38565682084038,tully-fisher,27703.203718489214,2.2370348420964924e-07
3317,26.9626,0.6406,0.15991,10.054,0,154.7141357549878,tully-fisher,11968.231901206398,4.86283114646309e-08
2689,24.9003,-0.7587,0.16036,11.351,0,326.42243162913866,tully-fisher,53275.80193533984,5.082370126038044e-07
390627,212.627,53.9,0.16045,11.254,0,308.69528466490635,tully-fisher,47646.389387173775,4.456013507311453e-07
5103,359.884,0.7372,0.1606,9.086,0,88.61964289785979,tully-fisher,3926.720553672095,-4.084556905126763e-08
120336,149.082,1.4095,0.16134,9.757,0,130.40072190055017,tully-fisher,8502.17413609231,1.0063217798238192e-08
17825,32.9471,-0.9124,0.1622,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
19174,25.6597,1.0304,0.16357,11.02,0,269.79257651833063,tully-fisher,36394.01717219964,3.204018249738737e-07
3087,20.4067,-0.9772,0.16431,9.664,0,123.60328002768316,tully-fisher,7638.885416800928,4.5783537913807184e-10
19616,37.1011,0.1847,0.16455,11.04,0,272.9166273177848,tully-fisher,37241.742733257306,3.298340439041627e-07
20764,26.1208,0.2298,0.16478,11.011,0,268.39844518490935,tully-fisher,36018.86268883839,3.162276684044671e-07
20430,312.417,0.4686,0.16593,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
12843,323.878,-0.9803,0.16595,11.258,0,309.40690078958386,tully-fisher,47866.315128107686,4.4804835461092273e-07
12853,316.766,0.7231,0.16817,10.364,0,184.9396347876446,tully-fisher,17101.334257693678,1.0574177771137623e-07
350233,149.466,3.4824,0.16935,9.181,0,93.6008937578793,tully-fisher,4380.563656136904,-3.579588351729745e-08
17389,323.295,-0.9601,0.1696,9.891,0,140.85750635248016,tully-fisher,9920.418547919493,2.584331504141066e-08
12856,332.866,0.756,0.17029,10.352,0,183.6665192967162,tully-fisher,16866.695155285506,1.0313106560690801e-07
590005,151.018,1.2155,0.17137,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
310039,36.2156,-3.3448,0.17156,9.953,0,145.9755081269405,tully-fisher,10654.424486459235,3.4010232528009984e-08
19282,359.072,-0.5059,0.17239,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
1303279,54.9068,-27.813,0.17274,10.617,0,213.93409076787995,tully-fisher,22883.89759633975,1.7008147194015775e-07
100090,131.828,43.4081,0.17282,9.978,0,148.09145349018,tully-fisher,10965.53929841707,3.7471851657649954e-08
3080,16.9323,-1.0395,0.17315,10.961,0,260.78343150149385,tully-fisher,34003.99907284717,2.9380928725173683e-07
15897,11.6814,-1.0329,0.17357,10.816,0,239.8998606298759,tully-fisher,28775.971565116935,2.3563963625647778e-07
120143,163.682,58.6266,0.1736,9.163,0,92.63604300304951,tully-fisher,4290.718231631417,-3.679554868341936e-08
15648,313.718,-0.1948,0.17383,11.339,0,324.1753554154825,tully-fisher,52544.83052937719,5.001038588456251e-07
14421,31.8299,1.2521,0.174,11.5,0,355.6558820077846,tully-fisher,63245.55320336759,6.191654556759216e-07
16165,30.7331,-0.5339,0.17405,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
5350,307.219,-0.7792,0.17431,10.865,0,246.76297395520425,tully-fisher,30445.982657608405,2.5422101561318577e-07
15583,37.7311,0.9463,0.17427,9.434,0,108.27544957653731,tully-fisher,5861.786490500637,-1.9315056820470374e-08
19969,31.9105,-0.324,0.17428,10.367,0,185.25929015545793,tully-fisher,17160.50229445207,1.0640011090553433e-07
18604,340.921,0.4214,0.17483,11.05,0,274.4921922015125,tully-fisher,37672.98178979604,3.34632225508466e-07
14979,54.9464,0.9928,0.17654,10.089,0,157.8628705464416,tully-fisher,12460.342948581287,5.4103785309093645e-08
17218,356.172,-0.0301,0.17697,10.158,0,164.25931056691084,tully-fisher,13490.56055395843,6.556650207279669e-08
14451,308.195,0.9271,0.17729,10.124,0,161.0756882398134,tully-fisher,12972.688670964779,5.98044002763819e-08
17220,9.7015,-0.1792,0.17769,10.863,0,246.47904105881392,tully-fisher,30375.958840636235,2.53441895574394e-07
370428,184.375,47.5482,0.1778,10.124,0,161.0756882398134,tully-fisher,12972.688670964779,5.98044002763819e-08
5635,333.183,-0.0349,0.17839,9.483,0,111.3730198662557,tully-fisher,6201.974777064694,-1.5529951659327556e-08
6936,323.234,-0.6998,0.1789,10.259,0,174.0924734577417,tully-fisher,15154.09465731725,8.407581520628964e-08
300179,351.142,0.227,0.17896,10.324,0,180.72989474446027,tully-fisher,16331.64742717184,9.717785676013768e-08
13045,345.025,0.5377,0.17916,10.574,0,208.70362654572472,tully-fisher,21778.60186666866,1.5778339838441414e-07
1347120,52.8899,-28.9121,0.17955,7.773,0,41.61788402780727,tully-fisher,866.0241354760076,-7.49004094639575e-08
2372,40.5207,-0.5409,0.17959,10.597,0,211.485207481206,tully-fisher,22362.99649168437,1.6428566550722577e-07
1303496,53.8482,-29.5918,0.17979,10.643,0,217.16008134496417,tully-fisher,23579.25046487572,1.7781831602169367e-07
13254,42.0587,-0.347,0.1799,10.005,0,150.41113749841193,tully-fisher,11311.75514178309,4.132402243292847e-08
14284,49.0493,-0.6009,0.18037,10.572,0,208.4634858786607,tully-fisher,21728.51247234128,1.5722607871035362e-07
420159,333.685,1.2178,0.18059,11.338,0,323.9887987807257,tully-fisher,52484.370867688776,4.994311543859591e-07
330023,35.7981,-2.7801,0.18064,10.623,0,214.6742704495167,tully-fisher,23042.521196516118,1.7184639751643437e-07
350548,128.848,44.9136,0.18067,10.636,0,216.28679025958752,tully-fisher,23389.9878203974,1.7571248510181708e-07
360112,130.673,43.5966,0.18071,9.381,0,105.0219301354981,tully-fisher,5514.802904692721,-2.3175769882459006e-08
17215,54.9264,1.0923,0.1808,11.331,0,322.6859049524278,tully-fisher,52063.096627483625,4.94743846316177e-07
370595,150.498,1.3251,0.18138,10.324,0,180.72989474446027,tully-fisher,16331.64742717184,9.717785676013768e-08
15443,49.8674,-0.318,0.18123,10.339,0,182.29719895839486,tully-fisher,16616.134374038298,1.0034320093391256e-07
1339392,54.1245,-28.5698,0.18148,10.292,0,177.43120240759217,tully-fisher,15740.915793901968,9.0605080911434e-08
17332,43.7735,-0.1474,0.18203,10.604,0,212.3391114397448,tully-fisher,22543.94912351018,1.6629903506666615e-07
1580,45.3231,-0.6441,0.18216,10.75,0,230.95639693789164,tully-fisher,26670.428643266474,2.1221231175627563e-07
1250017,43.1937,-0.1275,0.18217,8.797,0,75.03778323917265,tully-fisher,2815.3344567245304,-5.321140708192683e-08
15453,319.668,-1.0243,0.18243,8.989,0,83.80694229475613,tully-fisher,3511.801788398291,-4.546216292566359e-08
17391,347.552,-0.9314,0.18345,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
1257695,7.6016,-42.2982,0.18383,9.854,0,137.88911863418446,tully-fisher,9506.704518856097,2.12401256651351e-08
17168,339.724,-1.1671,0.18376,9.757,0,130.40072190055017,tully-fisher,8502.17413609231,1.0063217798238192e-08
20048,339.308,0.7364,0.18388,10.86,0,246.05375416247622,tully-fisher,30271.224968724142,2.52276574089857e-07
1296321,40.9169,-0.7619,0.18444,9.384,0,105.20345327814124,tully-fisher,5533.883290823023,-2.296347195548495e-08
15421,33.7416,0.6025,0.18443,10.166,0,165.01749709576154,tully-fisher,13615.387173874831,6.695538552926635e-08
8213,357.521,-0.9214,0.18468,10.522,0,202.54894976290623,tully-fisher,20513.038525028154,1.43702107154257e-07
15461,326.848,-0.4947,0.18482,10.516,0,201.8505772153369,tully-fisher,20371.827761082342,1.4213092551006017e-07
1336453,40.9697,-1.2293,0.18492,9.326,0,101.74896392893822,tully-fisher,5176.425830306185,-2.6940722590293393e-08
6422,349.139,-0.6632,0.18501,9.765,0,131.00262428499448,tully-fisher,8580.843784777713,1.0938535688433519e-08
16281,352.942,-0.6681,0.18507,10.394,0,188.16116600731786,tully-fisher,17702.312196616713,1.1242855908567326e-07
370563,150.952,2.646,0.18538,10.859,0,245.91215499530043,tully-fisher,30236.393987216325,2.5188902715458624e-07
15365,354.557,1.2491,0.18651,11.178,0,295.4812963179229,tully-fisher,43654.59823686007,4.0118668425963635e-07
18807,46.6409,0.7933,0.18714,10.998,0,266.3974084626323,tully-fisher,35483.78961780328,3.1027417757966715e-07
5994,312.603,-0.1679,0.18801,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
12927,41.7861,0.7751,0.18892,10.401,0,188.92089557143507,tully-fisher,17845.552391756533,1.1402232119718779e-07
16100,30.4363,-1.0324,0.18893,9.661,0,123.39000893122677,tully-fisher,7612.547152024111,1.6478266133526036e-10
1273127,8.5563,-43.2759,0.18937,10.406,0,189.46543690085,tully-fisher,17948.575890014985,1.1516861220830885e-07
18787,29.7298,-1.0271,0.18915,11.072,0,277.9905262426705,tully-fisher,38639.366340338434,3.453847037517695e-07
18749,12.5473,0.6754,0.18931,11.172,0,294.46250048654383,tully-fisher,43354.082096393904,3.978429912542894e-07
