CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
2008bq,100.26,-38.0386,0.03279,10.9133,0,253.7201711382445,tully-fisher,32186.962621210037,2.735920301540816e-07
ASASSN-16oz,135.056,-13.634,0.03207,8.01111,0,47.73176520759213,tully-fisher,1139.1607049163513,-7.186135527097657e-08
2006az,183.061,56.1794,0.03158,11.1124,0,284.53126562743626,tully-fisher,40479.02055977534,3.658536174555269e-07
010026,160.674,58.8438,0.03174,9.61222,0,119.97340798300402,tully-fisher,7196.809311528166,-4.46092465397897e-09
AT2017po,240.965,39.9901,0.03201,8.98827,0,83.77173219087732,tully-fisher,3508.851557130035,-4.549498867552355e-08
2007ai,243.224,-21.6302,0.03212,10.7402,0,229.65716303541654,tully-fisher,26371.20626673794,2.0888301381610592e-07
2007ux,152.333,14.9924,0.03183,10.0948,0,158.3908157982556,tully-fisher,12543.825264618466,5.5032651345276184e-08
ASASSN-15pr,346.664,-12.5728,0.03189,9.55707,0,116.22444892478893,tully-fisher,6754.061263935433,-9.387161053695817e-09
2008gl,20.2284,4.8053,0.03246,11.1311,0,287.6106712359757,tully-fisher,41359.94910440424,3.756552694011327e-07
SN2016hpx,90.8194,-26.8986,0.0337,9.09468,0,89.06354874948367,tully-fisher,3966.157857925827,-4.0406769863382445e-08
SN2017cii,248.333,23.7313,0.03337,8.8988,0,79.56645256465914,tully-fisher,3165.410186862077,-4.931628927432131e-08
2006te,122.929,41.5547,0.03212,10.4808,0,197.80168900421316,tully-fisher,19562.754086459732,1.3312876681585663e-07
2006os,43.7542,16.0097,0.03212,10.8407,0,243.33523289065383,tully-fisher,29606.017782974362,2.4487514596473937e-07
2004as,171.413,22.8304,0.0325,8.76504,0,73.66988563611254,tully-fisher,2713.6260248189496,-5.434306600653553e-08
ASASSN-16bc,181.357,-21.4004,0.03314,10.3011,0,178.36309333137254,tully-fisher,15906.696531367954,9.244964037977539e-08
2008gp,50.753,1.3619,0.03245,10.4696,0,196.53051656590634,tully-fisher,19312.12197083099,1.3034010844082507e-07
2010ag,255.973,31.5017,0.03336,10.6105,0,213.13510912170557,tully-fisher,22713.28737016067,1.68183177162943e-07
2005iq,359.635,-18.7092,0.03292,10.49,0,198.85201479059137,tully-fisher,19771.06189313878,1.354465037436351e-07
PS15bsq,355.467,-8.6379,0.03309,10.9397,0,257.60541961716837,tully-fisher,33180.27610806869,2.846441332224026e-07
2004L,156.767,16.0187,0.03344,10.1437,0,162.91272034464137,tully-fisher,13270.27722504566,6.311551949017197e-08
2003gn,338.465,20.8024,0.03316,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
2003cq,179.059,60.522,0.03323,10.4839,0,198.15498193254803,tully-fisher,19632.698432344216,1.3390700261954668e-07
2006S,191.413,35.0868,0.0331,10.2024,0,168.51167506796529,tully-fisher,14198.092317105755,7.343885463205254e-08
2011dl,244.521,21.5511,0.03432,9.08368,0,88.50137041601393,tully-fisher,3916.2462827562517,-4.0962111032483964e-08
2006gr,338.095,30.8287,0.03352,10.0957,0,158.472896433203,tully-fisher,12556.82945196434,5.517734244306937e-08
ASASSN-16dw,202.503,-27.9739,0.03565,10.1423,0,162.78148109445053,tully-fisher,13248.905293651476,6.287772468353484e-08
2007ba,229.178,7.3966,0.03533,11.1077,0,283.762496059222,tully-fisher,40260.57708487998,3.634231060096583e-07
ATLAS17ajs,171.977,27.3458,0.0337,9.50928,0,113.07067783046281,tully-fisher,6392.489092520157,-1.3410194021622172e-08
1996bl,9.0749,11.3946,0.03481,10.1459,0,163.11916726221634,tully-fisher,13303.931364159453,6.348997228788594e-08
2003kc,146.643,30.6553,0.0341,10.3635,0,184.88641254153814,tully-fisher,17091.49277123991,1.056322764068319e-07
2003iv,42.5302,12.8462,0.03351,10.8038,0,238.22097382347707,tully-fisher,28374.61618470287,2.3117395539132647e-07
ASASSN-15jl,230.671,50.9766,0.03492,8.79586,0,74.98855684191183,tully-fisher,2811.6418286163203,-5.325249311064268e-08
1992bg,115.486,-62.5194,0.03574,10.4968,0,199.63192549834488,tully-fisher,19926.45283908836,1.3717546119084538e-07
2005eu,36.9303,28.1768,0.03369,8.86794,0,78.16547937184323,tully-fisher,3054.9210827150246,-5.054564635354662e-08
2008at,156.801,71.4157,0.03497,11.3036,0,317.63620285996535,tully-fisher,50446.37868364852,4.767554332078668e-07
ASASSN-15tg,5.171,25.229,0.03445,10.227,0,170.91492771239916,tully-fisher,14605.956257467315,7.797695299310794e-08
2007hu,254.125,27.9779,0.03518,11.2439,0,306.9057291374328,tully-fisher,47095.56328868962,4.394725838376033e-07
PTSS-16efw,263.908,8.809,0.03542,9.96056,0,146.6121611875887,tully-fisher,10747.562904047742,3.504653718351596e-08
2016fbk,26.0272,34.3827,0.03495,10.765,0,232.95926942707067,tully-fisher,27135.01060599725,2.173814832250146e-07
AT2016fbk,26.0272,34.3827,0.03495,10.7289,0,228.16813662014445,tully-fisher,26030.34928435445,2.0509046841055337e-07
1994T,200.378,-2.149,0.03564,10.2173,0,169.9632377440372,tully-fisher,14443.751092218054,7.617217713104017e-08
ASASSN-15mi,210.815,41.6041,0.03501,9.51083,0,113.1716103595537,tully-fisher,6403.906695687321,-1.328315605358274e-08
ASASSN-15ss,93.1391,-14.2575,0.03592,10.7564,0,231.8088410445438,tully-fisher,26867.669393207292,2.1440691107105271e-07
2001ck,219.459,30.4839,0.03544,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
PS15bbn,315.99,13.3684,0.03602,7.94021,0,45.82289205373427,tully-fisher,1049.8687180840914,-7.285486261251711e-08
ASASSN-15lu,200.304,40.2657,0.03577,9.65851,0,123.21327341721951,tully-fisher,7590.755373093246,-7.768357915408854e-11
2008hj,1.008,-11.1687,0.03643,9.9461,0,145.3968493173739,tully-fisher,10570.121895709563,3.3072239704779104e-08
2000dg,1.5575,8.8882,0.03725,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
2002G,196.98,34.0851,0.03631,10.5613,0,207.18341900957554,tully-fisher,21462.48455624867,1.542661189528309e-07
2006mo,11.6606,36.3327,0.03616,10.793,0,236.7445530473726,tully-fisher,28023.991698800102,2.2727273185239163e-07
2008ei,334.388,33.2559,0.03654,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
2002hu,34.5836,37.4663,0.03591,10.099,0,158.77422284374143,tully-fisher,12604.626919817028,5.5709160995924515e-08
2000cf,238.234,65.9369,0.03646,9.49238,0,111.9760118783058,tully-fisher,6269.31361808524,-1.478070600696659e-08
2001eh,24.5504,41.6552,0.03627,11.1794,0,295.719522088529,tully-fisher,43725.01787213399,4.019702083709844e-07
ASASSN-16db,167.357,29.5732,0.03589,10.678,0,221.5797130748579,tully-fisher,24548.784623168176,1.8860583837739366e-07
AT2016hns,324.921,24.4065,0.03704,10.4701,0,196.5870907369139,tully-fisher,19323.242122201806,1.3046383681128568e-07
ASASSN-15bc,61.561,-8.8856,0.03639,8.86694,0,78.1204966532554,tully-fisher,3051.4059986756442,-5.058475693808113e-08
2007jg,52.4617,0.0568,0.03652,8.21426,0,53.65312170835642,tully-fisher,1439.3287345258534,-6.852153552127141e-08
AT2016cvw,341.553,10.5588,0.03761,10.8943,0,250.96028313511437,tully-fisher,31490.53185562838,2.658431928504626e-07
2002eu,27.4317,32.6286,0.03672,10.5735,0,208.64356545720744,tully-fisher,21766.068703348,1.576439481357015e-07
