CID,sn_ra,sn_dec,zCMB,HOST_LOGMASS,IS_CALIBRATOR,pgc,galaxy_name,match_sep_arcsec,log_2Vm,e_log_2Vm,u_log_2Vm,vmax_apparent,VHI,e_VHI,m21,logR25,inclination_deg,v_rot,v_rot_log,mtype,v_rot_alfalfa,w50_alfalfa,v_rot_sparc,v_rot_deep,v_rot_source
2002eu,27.4317,32.6286,0.03672,10.5735,0,212843.0,,15.687447211079766,,,,,,,,0.3799999952316284,68.08060555469923,,,,,,,,None
2008gb,44.488,46.8657,0.03641,9.17934,0,11205.0,UGC2427,8.349874250566591,,,,,,,,0.3000000119209289,62.028717999378486,,,Sbc,,,,,None
2007O,224.022,45.4047,0.03732,10.8351,0,53387.0,UGC9612,14.846427179756814,,,,,,,,0.050000000745058,27.571955431350226,,,SBc,,,,,None
2008fr,17.9548,14.6408,0.0379,8.07746,0,,,,,,,,,,,,,,,,,,,,None
SN2017ciy,256.029,25.0529,0.03762,9.7066,0,59533.0,MCG4-40-015,86.4733114897338,,,,,,,,0.1000000014901161,38.31727915996693,,,,,,,,None
2008O,104.394,-45.8123,0.0394,11.4466,0,19925.0,ESO256-11,6.722975531627477,,,,,,,,0.3600000143051147,66.67142237937365,,,SO,,,,,None
2009bv,196.835,35.7844,0.03748,10.123,0,45449.0,MCG6-29-039,16.2294670276015,,,,,,,,0.050000000745058,27.571955431350226,,,Sc,,,,,None
2008051,229.995,4.9046,0.03835,8.26419,0,,,,,,,,,,,,,,,,,,,,None
ASASSN-15np,226.511,7.5615,0.03832,10.1408,0,1324967.0,,0.7211102551941844,,,,,,,,0.1700000017881393,48.76560643100902,,,,,,,,None
2010dw,230.668,-5.9211,0.03871,10.008,0,1038853.0,NPM1G-05.0551,7.356738407709405,,,,,,,,0.1899999976158142,51.20352326028178,,,,,,,,None
ASASSN-15pn,60.8598,-5.492,0.038,9.1308,0,1044047.0,,2.288755120197226,,,,,,,,0.1299999952316284,43.235793359656256,,,,,,,,None
1999aw,165.402,-6.1088,0.03928,9.41836,0,,,,,,,,,,,,,,,,,,,,None
